band;album;song;source;word;count
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;damn;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;hell;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;shit;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;cunt;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;bastard;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;asshole;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rache;llm;motherfucker;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Rockabilly War;llm;scheiße;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Samen im Darm;llm;bumsen;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Samen im Darm;llm;vögeln;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Samen im Darm;llm;ficken;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;That’s Punkrock;llm;fuck;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;West Berlin;static;ass;1
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;’Tschuldigung Bier;static;ass;1
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;’Tschuldigung Bier;static;jeb;1
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;’Tschuldigung Bier;llm;shit;
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;’Tschuldigung Bier;llm;damn;
Die Ärzte;auch;Angekumpelt;static;ass;2
Die Ärzte;auch;Bettmagnet;static;ass;3
Die Ärzte;auch;Bettmagnet;llm;verdammter;
Die Ärzte;auch;Bettmagnet;llm;gottverdammter;
Die Ärzte;auch;Cpt. Metal;static;ass;2
Die Ärzte;auch;Das darfst du;static;ass;5
Die Ärzte;auch;Das finde ich gut;static;ass;2
Die Ärzte;auch;Die Hard;static;sra;2
Die Ärzte;auch;Die Hard;llm;Arschgeweih;
Die Ärzte;auch;Fiasko;static;ass;1
Die Ärzte;auch;Freundschaft ist Kunst;static;ass;1
Die Ärzte;auch;Freundschaft ist Kunst;llm;dumm;
Die Ärzte;auch;Freundschaft ist Kunst;llm;arrogant;
Die Ärzte;auch;Ist das noch Punkrock?;static;ass;2
Die Ärzte;auch;Ist das noch Punkrock?;llm;fuck;
Die Ärzte;auch;M&F;static;ass;1
Die Ärzte;auch;Miststück;llm;miststück;
Die Ärzte;auch;TCR;static;ass;1
Die Ärzte;auch;TCR;static;pic;1
Die Ärzte;auch;TCR;llm;gottverdammte;
Die Ärzte;auch;Tamagotchi;static;ass;2
Die Ärzte;auch;Waldspaziergang mit Folgen;static;ass;3
Die Ärzte;auch;zeiDverschwÄndung;static;ass;1
Die Ärzte;Das ist nicht die ganze Wahrheit…;Bitte bitte;static;ass;29
Die Ärzte;Das ist nicht die ganze Wahrheit…;Blumen;static;dick;6
Die Ärzte;Das ist nicht die ganze Wahrheit…;Blumen;static;ass;1
Die Ärzte;Das ist nicht die ganze Wahrheit…;Elke;static;dick;2
Die Ärzte;Das ist nicht die ganze Wahrheit…;Elke;llm;bitch;
Die Ärzte;Das ist nicht die ganze Wahrheit…;Elke;llm;shit;
Die Ärzte;Das ist nicht die ganze Wahrheit…;Elke;llm;fuck;
Die Ärzte;Das ist nicht die ganze Wahrheit…;Gute Zeit;static;ass;1
Die Ärzte;Das ist nicht die ganze Wahrheit…;Ich will dich;static;ass;1
Die Ärzte;Das ist nicht die ganze Wahrheit…;Komm zurück;static;ass;2
Die Ärzte;Das ist nicht die ganze Wahrheit…;Ohne dich;llm;hölle;
Die Ärzte;Das ist nicht die ganze Wahrheit…;Siegerin;static;ass;1
Die Ärzte;Das ist nicht die ganze Wahrheit…;Siegerin;llm;monster;
Die Ärzte;Das ist nicht die ganze Wahrheit…;♀;llm;fuck;
Die Ärzte;Das ist nicht die ganze Wahrheit…;♀;llm;cunt;
Die Ärzte;Debil;Claudia hat ’nen Schäferhund;static;ass;1
Die Ärzte;Debil;Claudia hat ’nen Schäferhund;static;debil;1
Die Ärzte;Debil;El Cattivo;llm;fuck;
Die Ärzte;Debil;El Cattivo;llm;shit;
Die Ärzte;Debil;Mädchen;static;ass;1
Die Ärzte;Debil;Mädchen;llm;Au!;
Die Ärzte;Debil;Micha;static;ass;2
Die Ärzte;Debil;Micha;llm;tierisch;
Die Ärzte;Debil;Mr. Sexpistols;static;pic;1
Die Ärzte;Debil;Mr. Sexpistols;llm;dumme alte Kuh;
Die Ärzte;Debil;Paul;static;ass;2
Die Ärzte;Debil;Paul;static;debil;1
Die Ärzte;Debil;Roter Minirock;static;ass;7
Die Ärzte;Debil;Scheißtyp;static;ass;3
Die Ärzte;Debil;Scheißtyp;llm;scheißtyp;
Die Ärzte;Debil;Zu spät;static;ass;2
Die Ärzte;Debil;Zu spät;static;debil;1
Die Ärzte;Die Ärzte;Alleine in der Nacht;static;ass;3
Die Ärzte;Die Ärzte;Geschwisterliebe;static;ass;3
Die Ärzte;Die Ärzte;Geschwisterliebe;llm;fuck;
Die Ärzte;Die Ärzte;Geschwisterliebe;llm;shit;
Die Ärzte;Die Ärzte;Ist das alles?;static;ass;1
Die Ärzte;Die Ärzte;Jenseits von Eden;static;ass;2
Die Ärzte;Die Ärzte;Mysteryland;static;ass;1
Die Ärzte;Die Ärzte;Wie am ersten Tag;static;ass;10
Die Ärzte;Die Ärzte;Wir werden schön;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Deutschrockgirl;llm;Arschfick;
Die Ärzte;Die Bestie in Menschengestalt;Die Allerschürfste;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Die Allerschürfste;llm;bitch;
Die Ärzte;Die Bestie in Menschengestalt;FaFaFa;static;piss;2
Die Ärzte;Die Bestie in Menschengestalt;FaFaFa;static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;FaFaFa;llm;fuck;
Die Ärzte;Die Bestie in Menschengestalt;FaFaFa;llm;shit;
Die Ärzte;Die Bestie in Menschengestalt;Friedenspanzer;static;ass;4
Die Ärzte;Die Bestie in Menschengestalt;Für uns;static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;Gehirn-Stürm;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Gehirn-Stürm;llm;Mutterficker;
Die Ärzte;Die Bestie in Menschengestalt;Gehirn-Stürm;llm;Drecksau;
Die Ärzte;Die Bestie in Menschengestalt;Hey Huh (in Scheiben);static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;Hey Huh (in Scheiben);llm;Idiot;
Die Ärzte;Die Bestie in Menschengestalt;Kopfüber in die Hölle;static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;Kopfüber in die Hölle;llm;kotzt;
Die Ärzte;Die Bestie in Menschengestalt;Lieber Tee;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Mach die Augen zu;static;ass;4
Die Ärzte;Die Bestie in Menschengestalt;Mit dem Schwert nach Polen, warum René?;static;hell;1
Die Ärzte;Die Bestie in Menschengestalt;Mit dem Schwert nach Polen, warum René?;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Mit dem Schwert nach Polen, warum René?;llm;damn;
Die Ärzte;Die Bestie in Menschengestalt;Omaboy;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Omaboy;llm;shit;
Die Ärzte;Die Bestie in Menschengestalt;Omaboy;llm;fuck;
Die Ärzte;Die Bestie in Menschengestalt;Quark;static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;Quark;llm;Quark;
Die Ärzte;Die Bestie in Menschengestalt;Schrei nach Liebe;static;ass;2
Die Ärzte;Die Bestie in Menschengestalt;Schrei nach Liebe;llm;Arschloch;
Die Ärzte;Die Bestie in Menschengestalt;Wenn es Abend wird;static;ass;1
Die Ärzte;Die Bestie in Menschengestalt;Wenn es Abend wird;static;dick;1
Die Ärzte;Dunkel;Anastasia;static;ass;6
Die Ärzte;Dunkel;Anastasia;llm;Eier;
Die Ärzte;Dunkel;Besser;static;hell;1
Die Ärzte;Dunkel;Besser;llm;Henker;
Die Ärzte;Dunkel;Danach;static;ass;5
Die Ärzte;Dunkel;Doof;static;shit;1
Die Ärzte;Dunkel;Doof;static;ass;2
Die Ärzte;Dunkel;Doof;llm;bullshit;
Die Ärzte;Dunkel;Dunkel;static;hell;4
Die Ärzte;Dunkel;Dunkel;static;ass;1
Die Ärzte;Dunkel;Erhaben;static;ass;3
Die Ärzte;Dunkel;KFM;llm;motherfucker;
Die Ärzte;Dunkel;Kraft;static;ass;3
Die Ärzte;Dunkel;Menschen;llm; arschloch;
Die Ärzte;Dunkel;Menschen;llm;fuck;
Die Ärzte;Dunkel;Nachmittag;static;ass;4
Die Ärzte;Dunkel;Our Bass Player Hates This Song;static;ass;4
Die Ärzte;Dunkel;Our Bass Player Hates This Song;llm;puta;
Die Ärzte;Dunkel;Our Bass Player Hates This Song;llm;gilipollas;
Die Ärzte;Dunkel;Schrei;static;ass;2
Die Ärzte;Dunkel;Schrei;llm;arschloch;
Die Ärzte;Dunkel;Schweigen;static;ass;3
Die Ärzte;Dunkel;Tristesse;static;ass;2
Die Ärzte;Dunkel;Wissen;static;ass;2
Die Ärzte;Geräusch;Als ich den Punk erfand ...;static;cunt;1
Die Ärzte;Geräusch;Als ich den Punk erfand ...;static;ass;1
Die Ärzte;Geräusch;Als ich den Punk erfand ...;llm;cunt;
Die Ärzte;Geräusch;Anders als beim letzten Mal;static;ass;12
Die Ärzte;Geräusch;Anders als beim letzten Mal;llm;beschissen;
Die Ärzte;Geräusch;Anti-Zombie;llm;Dummköpfe;
Die Ärzte;Geräusch;Besserwisserboy;static;hell;1
Die Ärzte;Geräusch;Besserwisserboy;llm;Henker;
Die Ärzte;Geräusch;Deine Schuld;static;ass;12
Die Ärzte;Geräusch;Der Grund;static;ass;1
Die Ärzte;Geräusch;Der Tag;static;ass;1
Die Ärzte;Geräusch;Der Tag;llm;Zicke;
Die Ärzte;Geräusch;Der Tag;llm;Nervensäge;
Die Ärzte;Geräusch;Die klügsten Männer der Welt;static;hell;2
Die Ärzte;Geräusch;Die klügsten Männer der Welt;static;ass;1
Die Ärzte;Geräusch;Dinge von denen;static;ass;5
Die Ärzte;Geräusch;Dinge von denen;llm;shit;
Die Ärzte;Geräusch;Ein Mann;static;ass;1
Die Ärzte;Geräusch;Geisterhaus;static;ass;1
Die Ärzte;Geräusch;Jag älskar Sverige!;static;ass;2
Die Ärzte;Geräusch;Jag älskar Sverige!;llm;damn;
Die Ärzte;Geräusch;NichtWissen;static;ass;3
Die Ärzte;Geräusch;Nichts in der Welt;static;ass;5
Die Ärzte;Geräusch;Piercing;llm;damn;
Die Ärzte;Geräusch;Piercing;llm;hell;
Die Ärzte;Geräusch;Richtig schön evil;static;ass;7
Die Ärzte;Geräusch;Richtig schön evil;static;jeb;1
Die Ärzte;Geräusch;Richtig schön evil;llm;dixie;
Die Ärzte;Geräusch;Richtig schön evil;llm;klo;
Die Ärzte;Geräusch;Richtig schön evil;llm;galgenvogel;
Die Ärzte;Geräusch;Ruhig angehn;static;ass;4
Die Ärzte;Geräusch;Schneller leben;static;ass;1
Die Ärzte;Geräusch;Schneller leben;static;dick;1
Die Ärzte;Geräusch;System;static;ass;3
Die Ärzte;Geräusch;T-Error;llm;Stück;
Die Ärzte;Geräusch;T-Error;llm;Schweine;
Die Ärzte;Geräusch;Unrockbar;static;ass;1
Die Ärzte;Geräusch;Unrockbar;llm;shit;
Die Ärzte;Geräusch;Unrockbar;llm;damn;
Die Ärzte;Geräusch;WAMMW;static;ass;2
Die Ärzte;Hell;Achtung: Bielefeld;static;ass;5
Die Ärzte;Hell;Alle auf Brille;static;ass;3
Die Ärzte;Hell;Alle auf Brille;static;cunt;6
Die Ärzte;Hell;Alle auf Brille;static;dick;1
Die Ärzte;Hell;Alle auf Brille;llm;cunts;
Die Ärzte;Hell;Alle auf Brille;llm;damn;
Die Ärzte;Hell;Alle auf Brille;llm;fucking;
Die Ärzte;Hell;Clown aus dem Hospiz;static;ass;3
Die Ärzte;Hell;Das letzte Lied des Sommers;static;ass;1
Die Ärzte;Hell;Einmal ein Bier;static;ass;4
Die Ärzte;Hell;Ich, am Strand;static;pic;1
Die Ärzte;Hell;Ich, am Strand;llm;shit;
Die Ärzte;Hell;Ich, am Strand;llm;damn;
Die Ärzte;Hell;Leben vor dem Tod;static;ass;1
Die Ärzte;Hell;Liebe gegen Rechts;static;ass;1
Die Ärzte;Hell;Liebe gegen Rechts;static;sra;1
Die Ärzte;Hell;Morgens pauken;static;ass;3
Die Ärzte;Hell;Morgens pauken;llm;damn;
Die Ärzte;Hell;Plan B;static;ass;2
Die Ärzte;Hell;Plan B;static;fuck;1
Die Ärzte;Hell;Plan B;llm;fuck;
Die Ärzte;Hell;Thor;static;ass;1
Die Ärzte;Hell;Thor;llm;fuck;
Die Ärzte;Hell;Thor;llm;shit;
Die Ärzte;Hell;True Romance;static;ass;2
Die Ärzte;Hell;True Romance;llm;scheiße;
Die Ärzte;Hell;True Romance;llm;bitch;
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;static;ass;5
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;llm;shit;
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;llm;damn;
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;llm;hell;
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;llm;cunt;
Die Ärzte;Hell;Warum spricht niemand über Gitarristen?;llm;motherfucker;
Die Ärzte;Hell;Wer verliert, hat schon verloren;static;ass;2
Die Ärzte;Hell;Woodburger;static;ass;1
Die Ärzte;Hell;Woodburger;llm;Arsch;
Die Ärzte;Hell;Woodburger;llm;Arschlöcher;
Die Ärzte;Im Schatten der Ärzte;… und es regnet;static;ass;1
Die Ärzte;Im Schatten der Ärzte;Alles;static;ass;3
Die Ärzte;Im Schatten der Ärzte;Die Antwort bist Du;static;ass;2
Die Ärzte;Im Schatten der Ärzte;Du willst mich küssen;static;ass;2
Die Ärzte;Im Schatten der Ärzte;Du willst mich küssen;static;sra;1
Die Ärzte;Im Schatten der Ärzte;Ich weiß nicht (ob es Liebe ist);static;piss;1
Die Ärzte;Im Schatten der Ärzte;Ich weiß nicht (ob es Liebe ist);llm;fuck;
Die Ärzte;Im Schatten der Ärzte;Ich weiß nicht (ob es Liebe ist);llm;shit;
Die Ärzte;Im Schatten der Ärzte;Rennen nicht laufen!;static;ass;1
Die Ärzte;Im Schatten der Ärzte;Wegen dir;static;ass;2
Die Ärzte;Im Schatten der Ärzte;„Was hat der Junge doch für Nerven“;static;ass;1
Die Ärzte;Im Schatten der Ärzte;„Was hat der Junge doch für Nerven“;static;pic;1
Die Ärzte;Jazz ist anders (Economy);14:53;static;ass;42
Die Ärzte;Jazz ist anders (Economy);14:53;static;hell;4
Die Ärzte;Jazz ist anders (Economy);14:53;static;sra;1
Die Ärzte;Jazz ist anders (Economy);14:53;static;pic;7
Die Ärzte;Jazz ist anders (Economy);Brei;static;ass;1
Die Ärzte;Jazz ist anders (Economy);Himmelbett;static;dick;3
Die Ärzte;Jazz ist anders (Economy);Himmelbett;llm;bitch;
Die Ärzte;Jazz ist anders (Economy);I Can’t Get No Satisfaction;static;ass;57
Die Ärzte;Jazz ist anders (Economy);I Can’t Get No Satisfaction;static;bastard;1
Die Ärzte;Jazz ist anders (Economy);I Can’t Get No Satisfaction;static;pic;12
Die Ärzte;Jazz ist anders (Economy);Nur einen Gruss;static;ass;3
Die Ärzte;Jazz ist anders (Economy);Wir lösen uns auf, aber PSSST!!!;static;ass;51
Die Ärzte;Jazz ist anders (Economy);Wir lösen uns auf, aber PSSST!!!;static;hell;7
Die Ärzte;Jazz ist anders (Economy);Wir lösen uns auf, aber PSSST!!!;static;dick;3
Die Ärzte;Jazz ist anders (Economy);Wir lösen uns auf, aber PSSST!!!;static;sra;3
Die Ärzte;Le Frisur;3-Tage-Bart;static;dick;1
Die Ärzte;Le Frisur;Haar;static;ass;3
Die Ärzte;Le Frisur;Look, Don’t Touch;static;ass;3
Die Ärzte;Le Frisur;Mein Baby war beim Frisör;static;ass;1
Die Ärzte;Le Frisur;Mein Baby war beim Frisör;llm;knoten;
Die Ärzte;Le Frisur;Mein Baby war beim Frisör;llm;kotzen;
Die Ärzte;Le Frisur;Motherfucker 666;llm;fuck;
Die Ärzte;Le Frisur;Motherfucker 666;llm;shit;
Die Ärzte;Le Frisur;Motherfucker 666;llm;motherfucker;
Die Ärzte;Le Frisur;Straight Outta Bückeburg;static;ass;3
Die Ärzte;Le Frisur;Straight Outta Bückeburg;llm;shit;
Die Ärzte;Le Frisur;Vokuhila Superstar;static;ass;3
Die Ärzte;Le Frisur;Vokuhila Superstar;static;debil;1
Die Ärzte;Le Frisur;Zusammenfassung;static;ass;1
Die Ärzte;Nummus cecidit;Abends Skanken;static;ass;1
Die Ärzte;Nummus cecidit;Abends Skanken;llm;damn;
Die Ärzte;Nummus cecidit;Achtung Billyfeld;static;ass;6
Die Ärzte;Nummus cecidit;Achtung Billyfeld;llm;Alter;
Die Ärzte;Nummus cecidit;Dünkel;static;hell;4
Die Ärzte;Nummus cecidit;Dünkel;static;ass;1
Die Ärzte;Nummus cecidit;Krafthaut;static;piss;1
Die Ärzte;Nummus cecidit;Krafthaut;llm;egal;
Die Ärzte;Nummus cecidit;Leben vor dem Ska;static;ass;1
Die Ärzte;Nummus cecidit;Menschenbong;llm;Arschloch;
Die Ärzte;Nummus cecidit;Rub-A-Dub-Schrei;static;ass;2
Die Ärzte;Nummus cecidit;Rub-A-Dub-Schrei;llm;damn;
Die Ärzte;Nummus cecidit;Warum bricht niemand diesen Gitarristen?;static;ass;1
Die Ärzte;Nummus cecidit;Warum bricht niemand diesen Gitarristen?;llm;dämlich;
Die Ärzte;Nummus cecidit;Warum bricht niemand diesen Gitarristen?;llm;blöde;
Die Ärzte;Nummus cecidit;Woodburger Me Tender;static;ass;1
Die Ärzte;Nummus cecidit;Woodburger Me Tender;llm;Arschlöcher;
Die Ärzte;Nummus cecidit;Woodburger Me Tender;llm;Hölle;
Die Ärzte;Nummus cecidit;Woodburger Me Tender;llm;Arsch;
Die Ärzte;Planet Punk;B.S.L.;static;dick;6
Die Ärzte;Planet Punk;B.S.L.;static;ass;1
Die Ärzte;Planet Punk;Der Misanthrop;static;ass;2
Die Ärzte;Planet Punk;Der Misanthrop;llm;scheißegal;
Die Ärzte;Planet Punk;Die Banane;static;ass;3
Die Ärzte;Planet Punk;Die Banane;llm;scheiß;
Die Ärzte;Planet Punk;Die traurige Ballade von Susi Spakowski;static;ass;2
Die Ärzte;Planet Punk;Die traurige Ballade von Susi Spakowski;llm;Suff;
Die Ärzte;Planet Punk;Die traurige Ballade von Susi Spakowski;llm;Dreck;
Die Ärzte;Planet Punk;Die traurige Ballade von Susi Spakowski;llm;Abschaum;
Die Ärzte;Planet Punk;Die traurige Ballade von Susi Spakowski;llm;Pardon;
Die Ärzte;Planet Punk;Geh mit mir;static;ass;2
Die Ärzte;Planet Punk;Hurra;static;ass;1
Die Ärzte;Planet Punk;Langweilig;static;ass;4
Die Ärzte;Planet Punk;Langweilig;llm;scheiße;
Die Ärzte;Planet Punk;Mein Freund Michael;static;ass;3
Die Ärzte;Planet Punk;Meine Ex(plodierte Freundin);static;ass;7
Die Ärzte;Planet Punk;Meine Ex(plodierte Freundin);llm;scheiß;
Die Ärzte;Planet Punk;Meine Ex(plodierte Freundin);llm;verdammt;
Die Ärzte;Planet Punk;Red mit mir;static;ass;3
Die Ärzte;Planet Punk;Schunder‐Song;llm;fuck;
Die Ärzte;Planet Punk;Schunder‐Song;llm;shit;
Die Ärzte;Planet Punk;Super drei;static;ass;1
Die Ärzte;Planet Punk;Super drei;static;dick;1
Die Ärzte;Planet Punk;Super drei;llm;scheiße;
Die Ärzte;Planet Punk;Trick 17 m. S.;static;ass;1
Die Ärzte;Planet Punk;Vermissen, Baby;static;ass;6
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Alles so einfach;static;ass;2
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Baby;static;ass;8
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Baby;static;dick;2
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Baby;llm;Arschkriecherei;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Der Optimist;static;ass;3
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Dir;static;hell;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Ein Sommer nur für mich;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Ein Sommer nur für mich;llm;fuck;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Geld;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Gib mir Zeit;static;ass;6
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Herrliche Jahre;static;ass;5
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Herrliche Jahre;llm;verdammte;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Las Vegas;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Las Vegas;llm;verdammt;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Leichenhalle;llm;Henker;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Manchmal haben Frauen …;static;ass;2
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Manchmal haben Frauen …;llm;fresse;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Mondo Bondage;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;N 48.3;llm;shit;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Onprangering;static;piss;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Onprangering;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock Rendezvous;static;ass;3
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock Rendezvous;llm;fuck;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock Rendezvous;llm;bitch;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock Rendezvous;llm;damn;
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock’n’Roll Übermensch;static;dick;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Rock’n’Roll Übermensch;static;hell;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Wie es geht;static;ass;1
Die Ärzte;Runter mit den Spendierhosen, Unsichtbarer!;Yoko Ono;llm;beschissenen;
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;1000 Nadeln;static;ass;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;All die ganzen Jahre;static;ass;4
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Alles wird gut;static;ass;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Azzuro;static;ass;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;First Time;static;hell;1
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Fünf vor zwölf;static;ass;4
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Geld $ Gold (Darf’s ein bißchen mehr sein?);static;ass;1
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Glückspiraten;static;ass;4
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Hip Hop Bommi Bop (Tap Into America-Mix);static;ass;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Hip Hop Bommi Bop (Tap Into America-Mix);static;crap;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Hip Hop Bommi Bop (Tap Into America-Mix);static;shit;1
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Hip Hop Bommi Bop (Tap Into America-Mix);llm;crap;
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Hip Hop Bommi Bop (Tap Into America-Mix);llm;shit;
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Schönen Gruß, auf Wiederseh’n;llm;schwein;
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Der Besuch;static;ass;104
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Der Besuch;static;hell;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Der Besuch;static;dick;4
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Der Besuch;static;piss;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Der Besuch;static;pic;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Willi muß ins Heim;static;ass;104
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Willi muß ins Heim;static;hell;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Willi muß ins Heim;static;dick;4
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Willi muß ins Heim;static;piss;2
Die Toten Hosen;125 Jahre Die Toten Hosen: Auf dem Kreuzzug ins Glück;Willi – ein Verlierer (Drama in drei Akten): Willi muß ins Heim;static;pic;2
Die Toten Hosen;Auswärtsspiel;Amanita Phalloides;static;ass;1
Die Toten Hosen;Auswärtsspiel;Auswärtsspiel;static;ass;3
Die Toten Hosen;Auswärtsspiel;Auswärtsspiel;llm;scheissen;
Die Toten Hosen;Auswärtsspiel;Cokane in My Brain;static;fuck;1
Die Toten Hosen;Auswärtsspiel;Cokane in My Brain;llm;fucking;
Die Toten Hosen;Auswärtsspiel;Dankbar;static;ass;2
Die Toten Hosen;Auswärtsspiel;Dankbar;llm;shit;
Die Toten Hosen;Auswärtsspiel;Das Mädchen aus Rottweil;static;ass;1
Die Toten Hosen;Auswärtsspiel;Das Mädchen aus Rottweil;llm;scheißegal;
Die Toten Hosen;Auswärtsspiel;Daydreaming;static;hell;1
Die Toten Hosen;Auswärtsspiel;Daydreaming;llm;hell;
Die Toten Hosen;Auswärtsspiel;Graue Panther;llm;fuck;
Die Toten Hosen;Auswärtsspiel;Graue Panther;llm;shit;
Die Toten Hosen;Auswärtsspiel;Graue Panther;llm;damn;
Die Toten Hosen;Auswärtsspiel;Kanzler sein …;static;ass;5
Die Toten Hosen;Auswärtsspiel;Kanzler sein …;llm;scheiss;
Die Toten Hosen;Auswärtsspiel;Kein Alkohol (ist auch keine Lösung)!;static;ass;4
Die Toten Hosen;Auswärtsspiel;Kein Alkohol (ist auch keine Lösung)!;llm;scheiß;
Die Toten Hosen;Auswärtsspiel;Nur zu Besuch;static;hell;1
