band;album;song;substance
Böhse Onkelz;Onkelz wie wir...;Von Glas zu Glas;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);!;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Am Morgen danach;beer
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Am Morgen danach;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Dick + Durstig;beer
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Dick + Durstig;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Erinnerungen;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Falsche Propheten;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Onkelz wie wir;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Schöner Tag;beer
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Schöner Tag;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Von Glas zu Glas;alcohol
Böhse Onkelz;Onkelz wie wir (Neuaufnahme);Von Glas zu Glas;beer
Böhse Onkelz;Symphonien und Sonaten;Bin ich nur glücklich wenn es schmerzt;alcohol
Böhse Onkelz;Symphonien und Sonaten;Der Platz neben mir;alcohol
Böhse Onkelz;Symphonien und Sonaten;Der Platz neben mir;beer
Böhse Onkelz;Symphonien und Sonaten;Erinnerungen;alcohol
Böhse Onkelz;Symphonien und Sonaten;Nichts ist für die Ewigkeit;alcohol
Böhse Onkelz;Symphonien und Sonaten;Wieder mal ’nen Tag verschenkt;alcohol
Böhse Onkelz;Viva los Tioz;Bin ich nur glücklich, wenn es schmerzt;alcohol
Böhse Onkelz;Viva los Tioz;Das Geheimnis meiner Kraft;alcohol
Böhse Onkelz;Viva los Tioz;Der Platz neben mir (Part I und II);beer
Böhse Onkelz;Viva los Tioz;Der Platz neben mir (Part I und II);alcohol
Böhse Onkelz;Viva los Tioz;Leere Worte;cocaine
Böhse Onkelz;Viva los Tioz;Leere Worte;alcohol
Böhse Onkelz;Viva los Tioz;Terpentin;alcohol
Böhse Onkelz;Weiß;Es;alcohol
Böhse Onkelz;Weiß;Es;schnaps
Böhse Onkelz;Wir ham’ noch lange nicht genug;Eine dieser Nächte;alcohol
Böhse Onkelz;Wir ham’ noch lange nicht genug;Eine dieser Nächte;whiskey
Böhse Onkelz;Wir ham’ noch lange nicht genug;Wieder mal ’nen Tag verschenkt;alcohol
Bowling for Soup;A Hangover You Don’t Deserve;1985;alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Almost;alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Almost;drugs
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);beer
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);weed
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);marijuana
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);nicotine
Bowling for Soup;A Hangover You Don’t Deserve;Belgium (International Edit);cigarettes
Bowling for Soup;A Hangover You Don’t Deserve;Friends O’ Mine;beer
Bowling for Soup;A Hangover You Don’t Deserve;Last Call Casualty;alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Last Call Casualty;drinks
Bowling for Soup;A Hangover You Don’t Deserve;Ohio (Reprise Dirty);alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Ohio (Reprise Dirty);cigarettes
Bowling for Soup;A Hangover You Don’t Deserve;Really Might Be Gone (Dirty);weed
Bowling for Soup;A Hangover You Don’t Deserve;Really Might Be Gone (Dirty);marijuana
Bowling for Soup;A Hangover You Don’t Deserve;Really Might Be Gone (Dirty);pills
Bowling for Soup;A Hangover You Don’t Deserve;Shut‐Up And Smile;beer
Bowling for Soup;A Hangover You Don’t Deserve;Shut‐Up And Smile;alcohol
Bowling for Soup;A Hangover You Don’t Deserve;Smoothie King;cigarettes
Bowling for Soup;Bowling For Soup;London;alcohol
Bowling for Soup;Cell Mates;Girl You Want (Just a Girl);weed
Bowling for Soup;Cell Mates;Girl You Want (Just a Girl);alcohol
Bowling for Soup;Cell Mates;I Hate McDonald’s;beer
Bowling for Soup;Cell Mates;I Hate McDonald’s;alcohol
Bowling for Soup;Cell Mates;I Hate McDonald’s;weed
Bowling for Soup;Cell Mates;I Hate McDonald’s;marijuana
Bowling for Soup;Cell Mates;I Hate McDonald’s;cocaine
Bowling for Soup;Cell Mates;I Hate McDonald’s;heroin
Bowling for Soup;Cell Mates;I Hate McDonald’s;meth
Bowling for Soup;Cell Mates;I Hate McDonald’s;lsd
Bowling for Soup;Cell Mates;I Hate McDonald’s;ecstasy
Bowling for Soup;Cell Mates;I Hate McDonald’s;pills
Bowling for Soup;Cell Mates;I Hate McDonald’s;nicotine
Bowling for Soup;Cell Mates;I Hate McDonald’s;cigarettes
Bowling for Soup;Cell Mates;King Bong;alcohol
Bowling for Soup;Cell Mates;Wisk;alcohol
Bowling for Soup;Drunk Dynasty;Catalyst;alcohol
Bowling for Soup;Drunk Dynasty;Drinkin’ Beer on a Sunday;beer
Bowling for Soup;Drunk Dynasty;Hey Jealousy;alcohol
Bowling for Soup;Drunk Dynasty;She Used to Be Mine;rum
Bowling for Soup;Drunk Dynasty;She Used to Be Mine;alcohol
Bowling for Soup;Drunk Dynasty;Shit to Do;alcohol
Bowling for Soup;Drunk Enough to Dance;Emily;alcohol
Bowling for Soup;Drunk Enough to Dance;Girl All the Bad Guys Want;alcohol
Bowling for Soup;Drunk Enough to Dance;Girl All the Bad Guys Want;weed
Bowling for Soup;Drunk Enough to Dance;Surf Colorado;high
Bowling for Soup;Drunk Enough to Dance;[silence];alcohol
Bowling for Soup;Fishin’ for Woos;Friends Chicks Guitars;beer
Bowling for Soup;Fishin’ for Woos;Friends Chicks Guitars;alcohol
Bowling for Soup;Fishin’ for Woos;Friends Chicks Guitars;wine
Bowling for Soup;Fishin’ for Woos;Girls in America;alcohol
Bowling for Soup;Fishin’ for Woos;Graduation Trip;alcohol
Bowling for Soup;Fishin’ for Woos;Here’s Your Freakin’ Song;alcohol
Bowling for Soup;Fishin’ for Woos;I’ve Never Done Anything Like This;alcohol
Bowling for Soup;Fishin’ for Woos;I’ve Never Done Anything Like This;weed
Bowling for Soup;Fishin’ for Woos;S‐S‐S‐Saturday;alcohol
Bowling for Soup;Fishin’ for Woos;S‐S‐S‐Saturday;beer
Bowling for Soup;Fishin’ for Woos;S‐S‐S‐Saturday;shots
Bowling for Soup;Let's Do It for Johnny!!;Dumb;beer
Bowling for Soup;Let's Do It for Johnny!!;Pictures He Drew;alcohol
Bowling for Soup;Let's Do It for Johnny!!;Soho;vodka
Bowling for Soup;Lunch. Drunk. Love.;And I Think You Like Me Too;beer
Bowling for Soup;Lunch. Drunk. Love.;Couple of Days;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Critically Disdained;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Envy;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Envy;beer
Bowling for Soup;Lunch. Drunk. Love.;From the Rooftops;beer
Bowling for Soup;Lunch. Drunk. Love.;Kevin Weaver;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Real;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Real;beer
Bowling for Soup;Lunch. Drunk. Love.;Right About Now;beer
Bowling for Soup;Lunch. Drunk. Love.;Right About Now;alcohol
Bowling for Soup;Lunch. Drunk. Love.;Since We Broke Up;alcohol
Bowling for Soup;Pop Drunk Snot Bread;After All These Beers;beer
Bowling for Soup;Pop Drunk Snot Bread;Burn Out;beer
Bowling for Soup;Pop Drunk Snot Bread;Getting Old Sucks (But Everybody’s Doing It);alcohol
Bowling for Soup;Pop Drunk Snot Bread;Greatest of All Time;beer
Bowling for Soup;Pop Drunk Snot Bread;Hello Anxiety;alcohol
Bowling for Soup;Pop Drunk Snot Bread;I Wanna Be Brad Pitt;beer
Bowling for Soup;Pop Drunk Snot Bread;June Carter Cash (Lost and Found);wine
Bowling for Soup;Pop Drunk Snot Bread;June Carter Cash (Lost and Found);alcohol
Bowling for Soup;Pop Drunk Snot Bread;The Best We Can;alcohol
Bowling for Soup;Pop Drunk Snot Bread;The Letter 3 (Sitcom Song);weed
Bowling for Soup;Pop Drunk Snot Bread;Wouldn’t Change a Thing;beer
Bowling for Soup;Rock On Honorable Ones;Corndog;alcohol
Bowling for Soup;Rock On Honorable Ones;Milo;soda
Bowling for Soup;Rock On Honorable Ones;Thespian;beer
Bowling for Soup;Rock On Honorable Ones;Wisk;alcohol
Bowling for Soup;Sorry for Partyin’;A Really Cool Dance Song;alcohol
Bowling for Soup;Sorry for Partyin’;America (Wake Up Amy);beer
Bowling for Soup;Sorry for Partyin’;BFFF;beer
Bowling for Soup;Sorry for Partyin’;Hooray for Beer;beer
Bowling for Soup;Sorry for Partyin’;I Can't Stand L.A.;alcohol
Bowling for Soup;Sorry for Partyin’;I Can't Stand L.A.;weed
Bowling for Soup;Sorry for Partyin’;If Only;alcohol
Bowling for Soup;Sorry for Partyin’;No Hablo Inglés;beer
Bowling for Soup;Sorry for Partyin’;No Hablo Inglés;alcohol
Bowling for Soup;The Great Burrito Extortion Case;A Friendly Goodbye (Main Version);alcohol
Bowling for Soup;The Great Burrito Extortion Case;Friends Like You (Main Version - Explicit);alcohol
Buzzcocks;A Different Kind of Tension;I Believe;alcohol
Buzzcocks;Another Music in a Different Kitchen;I Need;alcohol
Buzzcocks;Another Music in a Different Kitchen;You Tear Me Up;weed
Buzzcocks;Buzzcocks;Driving You Insane;weed
Buzzcocks;Buzzcocks;Morning After;alcohol
Buzzcocks;Buzzcocks;Up for the Crack;alcohol
Buzzcocks;Flat‐Pack Philosophy;Look at You Now;alcohol
Buzzcocks;Flat‐Pack Philosophy;Reconciliation;alcohol
Buzzcocks;Sonics in the Soul;Can You Hear Tomorrow;alcohol
Buzzcocks;Sonics in the Soul;You’ve Changed Everything Now;alcohol
Buzzcocks;Sonics in the Soul;You’ve Changed Everything Now;weed
Buzzcocks;Sonics in the Soul;You’ve Changed Everything Now;acid
Buzzcocks;The 1991 Demo Album;All Over You (demo);stoned
Charta 77;Förhandla med clowner;Bensin i blodet;alcohol
Charta 77;Förhandla med clowner;Bensin i blodet;nicotine
Charta 77;Förhandla med clowner;Bensin i blodet;drugs
Charta 77;G8;Frihet II;alcohol
Charta 77;G8;Sandra;alcohol
Charta 77;Grisfesten;Erat lag;alcohol
Charta 77;Grisfesten;Erat lag;wine
Charta 77;Grisfesten;Ett steg till;wine
Charta 77;Grisfesten;Ett steg till;alcohol
Charta 77;Grisfesten;Tiga är guld;alcohol
Charta 77;Grisfesten;Tiga är guld;weed
Charta 77;Grisfesten;Tiga är guld;cocaine
Charta 77;Grisfesten;Tiga är guld;lsd
Charta 77;Hobbydiktatorn;Allt jag säger;alcohol
Charta 77;Hobbydiktatorn;Förr skrek vi;alcohol
Charta 77;Hobbydiktatorn;Förr skrek vi;beer
Charta 77;Hobbydiktatorn;Int´för du;alcohol
Charta 77;Hobbydiktatorn;Int´för du;cigarettes
Charta 77;Hobbydiktatorn;Vingar;alcohol
Charta 77;Hobbydiktatorn;Vingar;cigarettes
Charta 77;Hobbydiktatorn;Vykort från Rio;alcohol
Charta 77;Hobbydiktatorn;Vykort från Rio;cigarettes
Charta 77;Inget varar för evigt - så har det alltid varit;Det kommer regn;alcohol
Charta 77;Inget varar för evigt - så har det alltid varit;Det kommer regn;wine
Charta 77;Institution Justice & Poverty;Closed Doors;alcohol
Charta 77;Institution Justice & Poverty;Closed Doors;weed
Charta 77;Institution Justice & Poverty;Newspaper Court;alcohol
Charta 77;Institution Justice & Poverty;Newspaper Court;beer
Charta 77;Institution Justice & Poverty;Newspaper Court;wine
Charta 77;Institution Justice & Poverty;Newspaper Court;vodka
Charta 77;Institution Justice & Poverty;Newspaper Court;cigarettes
Charta 77;Institution Justice & Poverty;Out It's Still Dark;weed
Charta 77;Institution Justice & Poverty;Out It's Still Dark;alcohol
Charta 77;Institution Justice & Poverty;Out It's Still Dark;vodka
Charta 77;Institution Justice & Poverty;Standing Alone;beer
Charta 77;Institution Justice & Poverty;Standing Alone;cigarettes
Charta 77;Institution Justice & Poverty;The Day the Bank Collapse;alcohol
Charta 77;Institution Justice & Poverty;The Day the Bank Collapse;cigarettes
Charta 77;Institution Justice & Poverty;The Day the Bank Collapse;weed
Charta 77;Institution Justice & Poverty;To Be Continued;alcohol
Charta 77;Institution Justice & Poverty;To Be Continued;drugs
Charta 77;Institution Justice & Poverty;To Be Continued;pills
Charta 77;Institution Justice & Poverty + White Face;Closed Doors;alcohol
Charta 77;Institution Justice & Poverty + White Face;Closed Doors;beer
Charta 77;Institution Justice & Poverty + White Face;Closed Doors;cigarettes
Charta 77;Institution Justice & Poverty + White Face;On the Wall;alcohol
Charta 77;Institution Justice & Poverty + White Face;On the Wall;weed
Charta 77;Institution Justice & Poverty + White Face;On the Wall;marijuana
Charta 77;Institution Justice & Poverty + White Face;On the Wall;cocaine
Charta 77;Institution Justice & Poverty + White Face;On the Wall;heroin
Charta 77;Institution Justice & Poverty + White Face;On the Wall;meth
Charta 77;Institution Justice & Poverty + White Face;On the Wall;lsd
Charta 77;Institution Justice & Poverty + White Face;On the Wall;ecstasy
Charta 77;Institution Justice & Poverty + White Face;On the Wall;pills
Charta 77;Institution Justice & Poverty + White Face;On the Wall;nicotine
Charta 77;Institution Justice & Poverty + White Face;On the Wall;cigarettes
Charta 77;Institution Justice & Poverty + White Face;Out It's Still Dark;weed
Charta 77;Institution Justice & Poverty + White Face;Out It's Still Dark;alcohol
Charta 77;Institution Justice & Poverty + White Face;Out It's Still Dark;whiskey
Charta 77;Institution Justice & Poverty + White Face;Out It's Still Dark;beer
Charta 77;Institution Justice & Poverty + White Face;To Be Continued;alcohol
Charta 77;Institution Justice & Poverty + White Face;To Be Continued;pills
Charta 77;Läs mellan raderna 83-13;Tiga är guld;beer
Charta 77;Läs mellan raderna 83-13;Tiga är guld;weed
Charta 77;Läs mellan raderna 83-13;Tiga är guld;cocaine
Charta 77;Läs mellan raderna 83-13;Tiga är guld;lsd
Charta 77;Lilla Björn & Lilla Tiger;Tiga är guld;alcohol
Charta 77;Lilla Björn & Lilla Tiger;Tiga är guld;heroin
Charta 77;Lilla Björn & Lilla Tiger;Tiga är guld;cocaine
Charta 77;Lilla Björn & Lilla Tiger;Tiga är guld;lsd
Charta 77;n Annorlunda;Snälla förklara;alcohol
Charta 77;n Annorlunda;Snälla förklara;cigarettes
Charta 77;Sagan om världens mest hypade band;Är vi fel;alcohol
Charta 77;Sagan om världens mest hypade band;Är vi fel;weed
Charta 77;Sagan om världens mest hypade band;Är vi fel;cocaine
Charta 77;Sagan om världens mest hypade band;Är vi fel;heroin
Charta 77;Sagan om världens mest hypade band;Är vi fel;lsd
Charta 77;Sagan om världens mest hypade band;Jag är Gud;alcohol
Charta 77;Sagan om världens mest hypade band - teatern;Är vi fel;heroin
Charta 77;Sagan om världens mest hypade band - teatern;Är vi fel;cocaine
Charta 77;Sagan om världens mest hypade band - teatern;Är vi fel;lsd
Charta 77;Sagan om världens mest hypade band - teatern;Ett sista samtal;valium
Charta 77;Sagan om världens mest hypade band - teatern;Ett sista samtal;heroin
Charta 77;Sagan om världens mest hypade band - teatern;Ett sista samtal;bensin
Charta 77;Sagan om världens mest hypade band - teatern;Innan första gig;alcohol
Charta 77;Salt;Salt;alcohol
Charta 77;Salt;Världen är galen;alcohol
Charta 77;Salt;Världen är galen;weed
Charta 77;Salt;Världen är galen;cocaine
Charta 77;Salt;Världen är galen;heroin
Charta 77;Salt;Världen är galen;lsd
Charta 77;Sista dansen;Svart jul;alcohol
Charta 77;SKULD;Smittan;alcohol
Charta 77;SKULD;Smittan;weed
Charta 77;The Beauty Is in the Beholders Eyes;Christian Rights;weed
Charta 77;The Beauty Is in the Beholders Eyes;Christian Rights;alcohol
Charta 77;The Beauty Is in the Beholders Eyes;For You Part 2;beer
Charta 77;The Beauty Is in the Beholders Eyes;For You Part 2;alcohol
Charta 77;The Beauty Is in the Beholders Eyes;Glad That You Are Back;alcohol
Charta 77;URD;Blir det bättre;wine
Charta 77;Välfärdens avfall;Nisse;tobacco
Charta 77;Välfärdens avfall;Your Country Needs You;beer
Charta 77;Välfärdens avfall;Your Country Needs You;alcohol
Charta 77;Välfärdens avfall;Your Country Needs You;weed
Charta 77;Välfärdens avfall;Your Country Needs You;marijuana
Charta 77;Välfärdens avfall;Your Country Needs You;cocaine
Charta 77;Välfärdens avfall;Your Country Needs You;heroin
Charta 77;Välfärdens avfall;Your Country Needs You;meth
Charta 77;Välfärdens avfall;Your Country Needs You;pills
Charta 77;Välfärdens avfall;Your Country Needs You;nicotine
Charta 77;Välfärdens avfall;Your Country Needs You;cigarettes
Charta 77;VERDAN‐DI;Slår pannan blodig;alcohol
Charta 77;VERDAN‐DI;Slår pannan blodig;beer
Charta 77;VERDAN‐DI;Slår pannan blodig;wine
Charta 77;VERDAN‐DI;Slår pannan blodig;cigarettes
Chumbawamba;A Singsong and a Scrap;When Alexander Met Emma;cigarettes
Chumbawamba;ABCDEFG;Pickle;alcohol
Chumbawamba;ABCDEFG;Ratatatay;whisky
Chumbawamba;ABCDEFG;Ratatatay;scotch
Chumbawamba;ABCDEFG;The Song Collector;gin
Chumbawamba;ABCDEFG;You Don’t Exist;alcohol
Chumbawamba;ABCDEFG;You Don’t Exist;cigarettes
Chumbawamba;Anarchy;Give the Anarchist a Cigarette;cigarettes
Chumbawamba;Anarchy;Give the Anarchist a Cigarette;nicotine
Chumbawamba;Anarchy;Homophobia;beer
Chumbawamba;Anarchy;Homophobia;alcohol
Chumbawamba;Anarchy;Love Me;pills
Chumbawamba;Anarchy;Mouthful of Shit;beer
Chumbawamba;Anarchy;Mouthful of Shit;alcohol
Chumbawamba;Anarchy;This Year’s Thing;smoking
Chumbawamba;Another Year of the Same Old Shit;Body (live);alcohol
Chumbawamba;Another Year of the Same Old Shit;Rock 'n' Roles;alcohol
Chumbawamba;Another Year of the Same Old Shit;There Must Be More;alcohol
Chumbawamba;Another Year of the Same Old Shit;There Must Be More;cocaine
Chumbawamba;Be Happy! Despite It All… (demo);Arthur (live);alcohol
Chumbawamba;Be Happy! Despite It All… (demo);Arthur (live);weed
Chumbawamba;Be Happy! Despite It All… (demo);Going Too Fast;alcohol
Chumbawamba;Be Happy! Despite It All… (demo);Going Too Fast;pills
Chumbawamba;Be Happy! Despite It All… (demo);I Won't Fight Your Wars;alcohol
Chumbawamba;Be Happy! Despite It All… (demo);Manual;alcohol
Chumbawamba;Be Happy! Despite It All… (demo);Whose Life Is It Anyway?;tequila
Chumbawamba;Be Happy! Despite It All… (demo);Whose Life Is It Anyway?;vodka
Chumbawamba;Be Happy! Despite It All… (demo);Whose Life Is It Anyway?;beer
Chumbawamba;Be Happy! Despite It All… (demo);Whose Life Is It Anyway?;alcohol
Chumbawamba;Big Society!;It's the Same the Whole World Over;alcohol
Chumbawamba;Big Society!;It's the Same the Whole World Over;nicotine
Chumbawamba;Big Society!;It's the Same the Whole World Over;cigarettes
Chumbawamba;Big Society!;We're Not in This Together;alcohol
Chumbawamba;Big Society!;We're Not in This Together;cocaine
Chumbawamba;Big Society!;We're Not in This Together;Quaaludes
Chumbawamba;Big Society!;We're Not in This Together;Placydill
Chumbawamba;Big Society!;Who's Running the Show;alcohol
Chumbawamba;Big Society!;Who's Running the Show;weed
Chumbawamba;Big Society!;Who's Running the Show;cocaine
Chumbawamba;Big Society!;Who's Running the Show;Quaaludes
Chumbawamba;Big Society!;Who's Running the Show;Placydill
Chumbawamba;English Rebel Songs 1381-1914;Colliers March;alcohol
Chumbawamba;English Rebel Songs 1381-1914;Hanging on the Old Barbed Wire;rum
Chumbawamba;English Rebel Songs 1381-1914;Hanging on the Old Barbed Wire;alcohol
Chumbawamba;English Rebel Songs: 1381-1984;Hanging on the Old Barbed Wire;rum
Chumbawamba;English Rebel Songs: 1381-1984;Smashing of the Van;beer
Chumbawamba;English Rebel Songs: 1381-1984;The Bad Squire;liquor
Chumbawamba;English Rebel Songs: 1381-1984;The Colliers March;beer
Chumbawamba;English Rebel Songs: 1381-1984;The Cutty Wren;alcohol
Chumbawamba;Never Mind the Ballots;Ah-men;brandy
Chumbawamba;Pictures of Starving Children Sell Records;Coca-Colanisation;alcohol
Chumbawamba;Readymades;Salt Fare, North Sea;alcohol
Chumbawamba;Readymades;When I’m Bad;alcohol
Chumbawamba;Revengers Tragedy;The Very Core of Lust;cocaine
Chumbawamba;Revengers Tragedy;The Very Core of Lust;Quaaludes
Chumbawamba;Revengers Tragedy;The Very Core of Lust;Placydill
Chumbawamba;Shhh;Happiness Is Just a Chant Away;alcohol
Chumbawamba;Shhh;Happiness Is Just a Chant Away;weed
Chumbawamba;Shhh;Look! No Strings!;alcohol
Chumbawamba;Shhh;Nothing That’s New;alcohol
Chumbawamba;Shhh;Stitch That;alcohol
Chumbawamba;Slap!;Chase PC’s Flee Attack By Own Dog;alcohol
Chumbawamba;Slap!;Rappoport’s Testament: I Never Gave Up;alcohol
Chumbawamba;Swingin’ With Raymond;This Girl;alcohol
Chumbawamba;The Boy Bands Have Won;A Fine Line;alcohol
Chumbawamba;The Boy Bands Have Won;A Fine Line;cocaine
Chumbawamba;The Boy Bands Have Won;A Fine Line;nicotine
Chumbawamba;The Boy Bands Have Won;A Fine Line;cigarettes
Chumbawamba;The Boy Bands Have Won;Add Me;alcohol
Chumbawamba;The Boy Bands Have Won;Charlie;alcohol
Chumbawamba;The Boy Bands Have Won;Compliments of Your Waitress;alcohol
Chumbawamba;The Boy Bands Have Won;Lord Batemans Motorbike;beer
Chumbawamba;The Boy Bands Have Won;Lord Batemans Motorbike;alcohol
Chumbawamba;To Thine Self Be True;Ignorance Kills;beer
Chumbawamba;To Thine Self Be True;Ignorance Kills;alcohol
Chumbawamba;To Thine Self Be True;Multinationals;alcohol
Chumbawamba;To Thine Self Be True;Rock ’n’ Roles;alcohol
Chumbawamba;To Thine Self Be True;Rock ’n’ Roles;drugs
Chumbawamba;Tubthumper;Creepy Crawling;drink
Chumbawamba;Tubthumper;Drip, Drip, Drip;alcohol
Chumbawamba;Tubthumper;Drip, Drip, Drip;nicotine
Chumbawamba;Tubthumper;I Want More;alcohol
Chumbawamba;Tubthumper;Mary, Mary;alcohol
Chumbawamba;Tubthumper;Mary, Mary;weed
Chumbawamba;Tubthumper;Scapegoat;alcohol
Chumbawamba;Tubthumper;The Big Issue;alcohol
Chumbawamba;Tubthumper;Tubthumping;whiskey
Chumbawamba;Tubthumper;Tubthumping;vodka
Chumbawamba;Tubthumper;Tubthumping;lager
Chumbawamba;Tubthumper;Tubthumping;cider
Chumbawamba;Un (limited edition);A Man Walks Into a Bar;alcohol
Chumbawamba;Un (limited edition);A Man Walks Into a Bar;beer
Chumbawamba;Un (limited edition);Everything You Know Is Wrong;acid
Chumbawamba;Un (limited edition);Just Desserts;alcohol
Chumbawamba;Un (limited edition);Rebel Code;alcohol
Chumbawamba;WYSIWYG;Hey Hey We’re the Junkies;alcohol
Chumbawamba;WYSIWYG;Jesus in Vegas;alcohol
Chumbawamba;WYSIWYG;Smart Bomb;pills
Cock Sparrer;Chip on My Shoulder;The Sun Says (Oi! of Sex version);alcohol
Cock Sparrer;Chip on My Shoulder;The Sun Says (Oi! of Sex version);weed
Cock Sparrer;Chip on My Shoulder;The Sun Says (Oi! of Sex version);marijuana
Cock Sparrer;Chip on My Shoulder;The Sun Says (Oi! of Sex version);cigarettes
Cock Sparrer;Chip on My Shoulder;Working (live);alcohol
Cock Sparrer;Chip on My Shoulder;Working (live);coke
Cock Sparrer;Cock Sparrer;Again and Again;alcohol
Cock Sparrer;Cock Sparrer;I Need a Witness;alcohol
Cock Sparrer;Cock Sparrer;Sister Suzie;gin
Cock Sparrer;Cock Sparrer;Sister Suzie;alcohol
Cock Sparrer;Forever;In My Town;alcohol
Cock Sparrer;Guilty As Charged;Because You’re Young;alcohol
Cock Sparrer;Guilty As Charged;Bird Trouble;beer
Cock Sparrer;Guilty As Charged;Crack in the Mirror;vodka
Cock Sparrer;Guilty As Charged;Don’t Blame Us;cigarettes
Cock Sparrer;Guilty As Charged;Last Train to Dagenham;alcohol
Cock Sparrer;Guilty As Charged;Last Train to Dagenham;weed
Cock Sparrer;Guilty As Charged;Tough Guys;alcohol
Cock Sparrer;Guilty As Charged;Tough Guys;pills
Cock Sparrer;Guilty As Charged;We Know How to Live;beer
Cock Sparrer;Guilty As Charged;We Know How to Live;alcohol
Cock Sparrer;Guilty As Charged;We Know How to Live;nicotine
Cock Sparrer;Hand on Heart;My Forgotten Dream;alcohol
Cock Sparrer;Hand on Heart;One Way Ticket;beer
Cock Sparrer;Hand on Heart;One Way Ticket;weed
Cock Sparrer;Hand on Heart;One Way Ticket;alcohol
Cock Sparrer;Hand on Heart;Rags to Riches;alcohol
Cock Sparrer;Hand on Heart;Rags to Riches;weed
Cock Sparrer;Hand on Heart;With My Hand on My Heart;alcohol
Cock Sparrer;Here We Stand;Better Than This;alcohol
Cock Sparrer;Here We Stand;Did You Have a Nice Life Without Me?;beer
Cock Sparrer;Here We Stand;Last Orders;alcohol
Cock Sparrer;Here We Stand;Last Orders;beer
Cock Sparrer;Here We Stand;Last Orders;tequila
Cock Sparrer;Here We Stand;Suicide Girls;alcohol
Cock Sparrer;Here We Stand;Sussed;alcohol
Cock Sparrer;Here We Stand;Too Late;alcohol
Cock Sparrer;Running Riot in ’84;Closedown;alcohol
Cock Sparrer;Running Riot in ’84;The Sun Says - Alternate Version;weed
Cock Sparrer;Running Riot in ’84;The Sun Says - Alternate Version;alcohol
Cock Sparrer;Shock Troops;Riot Squad;smoking
Cock Sparrer;Shock Troops;Riot Squad;alcohol
Cock Sparrer;Shock Troops;Take ’Em All;beer
Cock Sparrer;Shock Troops;Take ’Em All;alcohol
Cock Sparrer;Two Monkeys;A.U.;alcohol
Cock Sparrer;Two Monkeys;Back Home;beer
Cock Sparrer;Two Monkeys;Back Home;alcohol
Cock Sparrer;Two Monkeys;Back Home;cigarettes
Cock Sparrer;Two Monkeys;Bats Out;beer
Cock Sparrer;Two Monkeys;Goodbye;alcohol
Cock Sparrer;Two Monkeys;I Feel a Death Coming On;alcohol
Cock Sparrer;Two Monkeys;I Feel a Death Coming On;smoking
Cock Sparrer;Two Monkeys;I Feel a Death Coming On;cigarettes
Cock Sparrer;Two Monkeys;I Live in Marbella (Working, Part 3);alcohol
Cock Sparrer;Two Monkeys;I Live in Marbella (Working, Part 3);coke
Cock Sparrer;Two Monkeys;Run for Cover;whiskey
Cock Sparrer;Two Monkeys;Run for Cover;beer
Cock Sparrer;Two Monkeys;Time to Be Me;alcohol
Cock Sparrer;Two Monkeys;Time to Be Me;weed
Cock Sparrer;Two Monkeys;Why Can't You See?;alcohol
Crass;Christ: The Album;Bumhooler;alcohol
Crass;Christ: The Album;It’s the Greatest Working Class Rip-off;alcohol
Crass;Christ: The Album;Nineteen Eighty Bore;alcohol
Crass;Christ: The Album;Nineteen Eighty Bore;cigarettes
Crass;Christ: The Album;Reality Whitewash;alcohol
Crass;Christ: The Album;Reality Whitewash;whiskey
Crass;Christ: The Album;Reality Whitewash;scotch
Crass;Christ: The Album;Reality Whitewash;coke
Crass;Christ: The Album;Salt ’n’ Pepper;alcohol
Crass;Christ: The Album;Shaved Women;drugs
Crass;Penis Envy;Systematic Death;alcohol
Crass;Stations of the Crass;G's Song (live);alcohol
Crass;Stations of the Crass;G's Song (live);weed
Crass;Stations of the Crass;Hurry Up Garry (The Parsons Farted);alcohol
Crass;Stations of the Crass;Hurry Up Garry (live);alcohol
