band;album;song;source;word;count;aggregated_word
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;static;damn;3;damn
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;static;piss;1;other
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;static;pic;10;asshole
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;static;sra;2;shit
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;fuck;;fuck
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;shit;;shit
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;bitch;;bitch
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;asshole;;asshole
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;bastard;;bastard
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;damn;;damn
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;hell;;damn
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;crap;;shit
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;cunt;;asshole
Dead Kennedys;Bedtime for Democracy;The Great Wall / Shrink;llm;motherfucker;;fuck
Dead Kennedys;Bedtime for Democracy;Where Do Ya Draw the Line;llm;fuck;;fuck
Dead Kennedys;Frankenchrist;Chicken Farm;static;pic;1;asshole
Dead Kennedys;Frankenchrist;Goons of Hazzard;static;ass;1;asshole
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;fuck;;fuck
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;shit;;shit
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;bitch;;bitch
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;asshole;;asshole
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;bastard;;bastard
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;damn;;damn
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;hell;;damn
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;crap;;shit
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;cunt;;asshole
Dead Kennedys;Frankenchrist;Goons of Hazzard;llm;motherfucker;;fuck
Dead Kennedys;Frankenchrist;Hellnation;static;hell;24;damn
Dead Kennedys;Frankenchrist;Hellnation;static;fuck;1;fuck
Dead Kennedys;Frankenchrist;Hellnation;llm;fucking;;fuck
Dead Kennedys;Frankenchrist;Jock-O-Rama (Invasion of the Beef Patrol);static;ass;1;asshole
Dead Kennedys;Frankenchrist;Jock-O-Rama (Invasion of the Beef Patrol);static;damn;1;damn
Dead Kennedys;Frankenchrist;Jock-O-Rama (Invasion of the Beef Patrol);llm;fuck;;fuck
Dead Kennedys;Frankenchrist;Jock-O-Rama (Invasion of the Beef Patrol);llm;shit;;shit
Dead Kennedys;Frankenchrist;Jock-O-Rama (Invasion of the Beef Patrol);llm;damn;;damn
Dead Kennedys;Frankenchrist;MTV - Get Off the Air;static;dick;1;asshole
Dead Kennedys;Frankenchrist;MTV - Get Off the Air;static;damn;1;damn
Dead Kennedys;Frankenchrist;MTV - Get Off the Air;llm;shit;;shit
Dead Kennedys;Frankenchrist;MTV - Get Off the Air;llm;damn;;damn
Dead Kennedys;Frankenchrist;Soup Is Good Food;static;hell;1;damn
Dead Kennedys;Frankenchrist;Soup Is Good Food;static;shit;3;shit
Dead Kennedys;Frankenchrist;Soup Is Good Food;static;ass;3;asshole
Dead Kennedys;Frankenchrist;Soup Is Good Food;llm;shit;;shit
Dead Kennedys;Frankenchrist;Soup Is Good Food;llm;hell;;damn
Dead Kennedys;Frankenchrist;Soup Is Good Food;llm;ass;;asshole
Dead Kennedys;Frankenchrist;Soup Is Good Food;llm;fuck;;fuck
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;static;hell;1;damn
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;static;piss;1;other
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;static;ass;2;asshole
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;static;pic;2;asshole
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;llm;fuck;;fuck
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;llm;shit;;shit
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;llm;asshole;;asshole
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;llm;damn;;damn
Dead Kennedys;Frankenchrist;Stars and Stripes of Corruption;llm;hell;;damn
Dead Kennedys;Frankenchrist;This Could Be Anywhere (This Could Be Everywhere);static;ass;2;asshole
Dead Kennedys;Frankenchrist;This Could Be Anywhere (This Could Be Everywhere);llm;asshole;;asshole
Dead Kennedys;Frankenchrist;This Could Be Anywhere (This Could Be Everywhere);llm;damn;;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;California über alles;llm;fuck;;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;California über alles;llm;shit;;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;California über alles;llm;damn;;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Chemical Warfare;static;ass;2;asshole
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Chemical Warfare;static;shit;1;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Chemical Warfare;static;damn;1;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Chemical Warfare;llm;shit;;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Chemical Warfare;llm;damn;;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Drug Me;static;hell;1;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Drug Me;static;fuck;2;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Drug Me;llm;fuck;;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Forward to Death;static;fuck;4;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Forward to Death;llm;fucking;;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Holiday in Cambodia;static;ass;2;asshole
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Holiday in Cambodia;static;bitch;1;bitch
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Holiday in Cambodia;llm;bitch;;bitch
Dead Kennedys;Fresh Fruit for Rotting Vegetables;I Kill Children;static;fuck;1;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;I Kill Children;static;shit;1;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;I Kill Children;llm;fuck;;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Kill the Poor;static;ass;1;asshole
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Let’s Lynch the Landlord;llm;fuck;;fuck
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Let’s Lynch the Landlord;llm;shit;;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Stealing People’s Mail;static;pic;1;asshole
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Stealing People’s Mail;llm;shit;;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Stealing People’s Mail;llm;damn;;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Stealing People’s Mail;llm;hell;;damn
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Viva Las Vegas;llm;shit;;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;When Ya Get Drafted;static;ass;1;asshole
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Your Emotions;static;crap;1;shit
Dead Kennedys;Fresh Fruit for Rotting Vegetables;Your Emotions;llm;damn;;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;California über alles;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;California über alles;llm;shit;;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Cold Fish;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Cold Fish;llm;shit;;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Dreadlocks of the Suburbs;static;fuck;1;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Dreadlocks of the Suburbs;static;ass;1;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Dreadlocks of the Suburbs;static;pic;1;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Dreadlocks of the Suburbs;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Forward to Death;static;fuck;4;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Forward to Death;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Holiday in Cambodia;static;ass;2;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Holiday in Cambodia;static;bitch;1;bitch
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Holiday in Cambodia;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Holiday in Cambodia;llm;shit;;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Holiday in Cambodia;llm;bitch;;bitch
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;I Kill Children;static;fuck;1;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;I Kill Children;static;shit;1;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;I Kill Children;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;I Kill Children;llm;bitch;;bitch
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;I Kill Children;llm;asshole;;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Kepone Kids;llm;damn;;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Kepone Kids;llm;hell;;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Kidnap;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Kill the Poor;static;ass;1;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Man With the Dogs;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Man With the Dogs;llm;shit;;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Mutations of Today;static;pic;1;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Mutations of Today;llm;fuck;;fuck
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Mutations of Today;llm;shit;;shit
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Rawhide;static;damn;2;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Rawhide;static;hell;1;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Rawhide;static;pic;1;asshole
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Rawhide;llm;goddamn;;damn
Dead Kennedys;Iguana Studios Rehearsal Tape: San Francisco 1978;Your Emotions;static;crap;1;shit
Dead Kennedys;Plastic Surgery Disasters;Bleed for Me;static;piss;1;other
Dead Kennedys;Plastic Surgery Disasters;Bleed for Me;llm;damn;;damn
Dead Kennedys;Plastic Surgery Disasters;Buzzbomb;static;piss;1;other
Dead Kennedys;Plastic Surgery Disasters;Buzzbomb;llm;fuck;;fuck
Dead Kennedys;Plastic Surgery Disasters;Buzzbomb;llm;shit;;shit
Dead Kennedys;Plastic Surgery Disasters;Dead End;static;hell;3;damn
Dead Kennedys;Plastic Surgery Disasters;Dead End;static;ass;1;asshole
Dead Kennedys;Plastic Surgery Disasters;Dead End;llm;hell;;damn
Dead Kennedys;Plastic Surgery Disasters;Forest Fire;llm;fuck;;fuck
Dead Kennedys;Plastic Surgery Disasters;Forest Fire;llm;shit;;shit
Dead Kennedys;Plastic Surgery Disasters;Forest Fire;llm;damn;;damn
Dead Kennedys;Plastic Surgery Disasters;Halloween;static;shit;1;shit
Dead Kennedys;Plastic Surgery Disasters;Halloween;static;ass;3;asshole
Dead Kennedys;Plastic Surgery Disasters;Halloween;llm;shit;;shit
Dead Kennedys;Plastic Surgery Disasters;Halloween;llm;ass;;asshole
Dead Kennedys;Plastic Surgery Disasters;I Am the Owl;static;pic;1;asshole
Dead Kennedys;Plastic Surgery Disasters;I Am the Owl;llm;fuck;;fuck
Dead Kennedys;Plastic Surgery Disasters;Riot;static;damn;1;damn
Dead Kennedys;Plastic Surgery Disasters;Riot;static;ass;2;asshole
Dead Kennedys;Plastic Surgery Disasters;Riot;llm;damn;;damn
Dead Kennedys;Plastic Surgery Disasters;Terminal Preppie;static;fuck;1;fuck
Dead Kennedys;Plastic Surgery Disasters;Trust Your Mechanic;static;fuck;2;fuck
Dead Kennedys;Plastic Surgery Disasters;Trust Your Mechanic;static;ass;1;asshole
Dead Kennedys;Plastic Surgery Disasters;Trust Your Mechanic;llm;fuck;;fuck
Dead Kennedys;Plastic Surgery Disasters;Trust Your Mechanic;llm;ass;;asshole
Dead Kennedys;Plastic Surgery Disasters;Well Paid Scientist;static;ass;1;asshole
Dead Kennedys;Plastic Surgery Disasters;Well Paid Scientist;llm;shit;;shit
Dead Kennedys;Plastic Surgery Disasters;Well Paid Scientist;llm;damn;;damn
Dead Kennedys;Plastic Surgery Disasters;Winnebago Warrior;static;pic;1;asshole
Dead Moon;Crack in the System;Back to Back;static;ass;1;asshole
Dead Moon;Crack in the System;It's O.K.;static;damn;1;damn
Dead Moon;Crack in the System;Poor Born;static;piss;9;other
Dead Moon;Crack in the System;Poor Born;llm;pissed;;other
Dead Moon;Crack in the System;The Dead Line;static;hell;1;damn
Dead Moon;Crack in the System;The Dead Line;static;crap;1;shit
Dead Moon;Crack in the System;The Dead Line;llm;hell;;damn
Dead Moon;Crack in the System;The Dead Line;llm;crap;;shit
Dead Moon;Crack in the System;Too Far Gone;static;hell;4;damn
Dead Moon;Crack in the System;Too Far Gone;llm;hell;;damn
Dead Moon;Crack in the System;Unknown Passage;static;ass;3;asshole
Dead Moon;Dead Ahead;Signs Of Departure;static;ass;1;asshole
Dead Moon;Defiance;Crystal Is Falling;static;ass;2;asshole
Dead Moon;Defiance;Dagger Moon;static;damn;1;damn
Dead Moon;Defiance;Dagger Moon;llm;goddamn;;damn
Dead Moon;Defiance;Kicked Out - Kicked In;static;damn;1;damn
Dead Moon;Defiance;Kicked Out - Kicked In;llm;damn;;damn
Dead Moon;Defiance;Revenge;static;ass;1;asshole
Dead Moon;Defiance;Unknown Passage;static;ass;3;asshole
Dead Moon;Destination X;Down to the Dogs;static;damn;2;damn
Dead Moon;Destination X;Down to the Dogs;llm;shit;;shit
Dead Moon;Destination X;Down to the Dogs;llm;damn;;damn
Dead Moon;Destination X;Last Train;static;ass;1;asshole
Dead Moon;Destination X;Point of No Return;static;ass;1;asshole
Dead Moon;Destination X;To Nowhere Down;static;ass;2;asshole
Dead Moon;In the Graveyard;Graveyard;static;hell;2;damn
Dead Moon;In the Graveyard;Hey Joe;llm;fuck;;fuck
Dead Moon;In the Graveyard;Hey Joe;llm;shit;;shit
Dead Moon;In the Graveyard;I Hate the Blues;static;damn;3;damn
Dead Moon;In the Graveyard;I Hate the Blues;llm;damn;;damn
Dead Moon;In the Graveyard;Parchment Farm;static;damn;1;damn
Dead Moon;In the Graveyard;Parchment Farm;static;pic;3;asshole
Dead Moon;In the Graveyard;Parchment Farm;llm;damn;;damn
Dead Moon;Nervous Sooner Changes;Area 51;static;damn;1;damn
Dead Moon;Nervous Sooner Changes;I’m Not Afraid;static;ass;1;asshole
Dead Moon;Nervous Sooner Changes;Psychodelic Nightmare;static;hell;1;damn
Dead Moon;Nervous Sooner Changes;Somewhere Far Away;static;ass;1;asshole
Dead Moon;Stranded in the Mystery Zone;Castaways;static;damn;1;damn
Dead Moon;Stranded in the Mystery Zone;Down the Road;static;pic;1;asshole
Dead Moon;Stranded in the Mystery Zone;Sorrow's Forecast;static;ass;1;asshole
Dead Moon;Strange Pray Tell;Going South;static;ass;1;asshole
Dead Moon;Strange Pray Tell;Ill of the Dead;static;ass;1;asshole
Dead Moon;Strange Pray Tell;Until It Rains;llm;fuck;;fuck
Dead Moon;Trash & Burn;One-Way Ticket;static;hell;1;damn
Dead Moon;Trash & Burn;Ricochet;llm;ain't;;other
Dead Moon;Trash & Burn;Shadows of the Night;static;ass;1;asshole
Dead Moon;Trash & Burn;Shadows of the Night;llm;fuck;;fuck
Dead Moon;Trash & Burn;Shadows of the Night;llm;shit;;shit
Dead Moon;Trash & Burn;Shadows of the Night;llm;bastard;;bastard
Dead Moon;Trash & Burn;The Way It Is;static;ass;1;asshole
Dead Moon;Unknown Passage;54/40;static;piss;1;other
Dead Moon;Unknown Passage;54/40;llm;fuck;;fuck
Dead Moon;Unknown Passage;54/40;llm;shit;;shit
Dead Moon;Unknown Passage;I Tried;static;ass;1;asshole
Dead Moon;Unknown Passage;On My Own;static;ass;1;asshole
DEVO;Adventures of the Smart Patrol;Freedom of Choice;static;pic;2;asshole
DEVO;Adventures of the Smart Patrol;That’s What He Said;static;fuck;3;fuck
DEVO;Adventures of the Smart Patrol;That’s What He Said;static;shit;5;shit
DEVO;Adventures of the Smart Patrol;That’s What He Said;static;bitch;2;bitch
DEVO;Adventures of the Smart Patrol;That’s What He Said;static;pic;1;asshole
DEVO;Adventures of the Smart Patrol;That’s What He Said;llm;fuck;;fuck
DEVO;Adventures of the Smart Patrol;That’s What He Said;llm;shit;;shit
DEVO;Adventures of the Smart Patrol;That’s What He Said;llm;bitch;;bitch
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;ass;9;asshole
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;asshole;1;asshole
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;dick;2;asshole
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;fuck;13;fuck
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;motherfucker;5;fuck
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;shit;8;shit
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;crap;1;shit
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;bitch;4;bitch
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;static;pic;1;asshole
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;fuck;;fuck
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;shit;;shit
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;bitch;;bitch
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;asshole;;asshole
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;damn;;damn
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;hell;;damn
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;crap;;shit
DEVO;Adventures of the Smart Patrol;The Spirit of JFK;llm;motherfucker;;fuck
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;ass;18;asshole
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;damn;1;damn
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;fuck;2;fuck
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;hell;1;damn
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;pic;4;asshole
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;static;sra;1;shit
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;llm;fuck;;fuck
DEVO;Adventures of the Smart Patrol;Theme from Adventures of the Smart Patrol;llm;damn;;damn
DEVO;Duty Now for the Future;S.I.B. (Swelling Itching Brain);static;pic;1;asshole
DEVO;Duty Now for the Future;Secret Agent Man;static;hell;1;damn
DEVO;Duty Now for the Future;Secret Agent Man;static;ass;2;asshole
DEVO;Duty Now for the Future;Secret Agent Man;llm;hell;;damn
DEVO;Duty Now for the Future;The Day My Baby Gave Me a Surprize;static;pic;2;asshole
DEVO;Duty Now for the Future;Triumph of the Will;llm;wanker;;asshole
DEVO;Freedom of Choice;Freedom of Choice;static;pic;2;asshole
DEVO;Freedom of Choice;That’s Pep!;static;damn;1;damn
DEVO;Freedom of Choice;That’s Pep!;llm;damn;;damn
DEVO;New Traditionalists;Enough Said;static;hell;2;damn
DEVO;New Traditionalists;Love Without Anger;static;pic;1;asshole
DEVO;New Traditionalists;Through Being Cool;static;ass;1;asshole
DEVO;New Traditionalists;Through Being Cool;static;pic;1;asshole
DEVO;Oh, No! It's DEVO;Big Mess;static;pic;4;asshole
DEVO;Oh, No! It's DEVO;I Desire;static;ass;1;asshole
DEVO;Oh, No! It's DEVO;Speed Racer;llm;fuck;;fuck
DEVO;Oh, No! It's DEVO;Speed Racer;llm;shit;;shit
DEVO;Oh, No! It's DEVO;Time Out for Fun;static;hell;1;damn
DEVO;Q: Are We Not Men? A: We Are Devo!;(Slap Your Mammy);llm;mammy;;other
DEVO;Q: Are We Not Men? A: We Are Devo!;Come Back Jonee;static;ass;1;asshole
DEVO;Q: Are We Not Men? A: We Are Devo!;Praying Hands;static;piss;1;other
DEVO;Q: Are We Not Men? A: We Are Devo!;Praying Hands;static;ass;2;asshole
DEVO;Q: Are We Not Men? A: We Are Devo!;Satisfaction (I Can’t Get Me No);llm;no;;other
DEVO;Q: Are We Not Men? A: We Are Devo!;Shrivel‐Up;static;piss;2;other
DEVO;Q: Are We Not Men? A: We Are Devo!;Space Junk;static;ass;1;asshole
DEVO;Q: Are We Not Men? A: We Are Devo!;Space Junk;llm;mad;;idiot
DEVO;Q: Are We Not Men? A: We Are Devo!;Too Much Paranoias;static;pic;2;asshole
DEVO;Q: Are We Not Men? A: We Are Devo!;Uncontrollable Urge;static;ass;5;asshole
DEVO;Smooth Noodle Maps;A Change Is Gonna Cum;static;pic;2;asshole
DEVO;Smooth Noodle Maps;Dawghaus;llm;shit;;shit
DEVO;Smooth Noodle Maps;Jimmy;llm;shit;;shit
DEVO;Smooth Noodle Maps;Jimmy;llm;damn;;damn
DEVO;Smooth Noodle Maps;Post Post-Modern Man;static;crap;1;shit
DEVO;Smooth Noodle Maps;Post Post-Modern Man;static;ass;3;asshole
DEVO;Smooth Noodle Maps;Post Post-Modern Man;static;pic;1;asshole
DEVO;Smooth Noodle Maps;The Big Picture;static;pic;8;asshole
DEVO;Something Else for Everybody;Don't Shoot (I'm a Man) (Polysics remix);llm;fuck;;fuck
DEVO;Something Else for Everybody;Don't Shoot (I'm a Man) (Polysics remix);llm;shit;;shit
DEVO;Something Else for Everybody;I Love Ur Gun;static;pic;2;asshole
DEVO;Something Else for Everybody;Monsterman;static;hell;1;damn
DEVO;Something Else for Everybody;Raise Your Hands;static;hell;1;damn
DEVO;Something Else for Everybody;Raise Your Hands;llm;middle fingers;;other
DEVO;Something for Everybody;Don't Shoot (I'm a Man);llm;friggin';;fuck
DEVO;Something for Everybody;Later Is Now;static;hell;1;damn
DEVO;Something for Everybody;Later Is Now;llm;hell;;damn
DEVO;Something for Everybody;March On;static;ass;1;asshole
DEVO;Something for Everybody;Mind Games;static;ass;1;asshole
DEVO;Total Devo;Agitated;static;pic;3;asshole
DEVO;Total Devo;Blow Up;llm;fuck;;fuck
DEVO;Total Devo;I’d Cry If You Died;static;hell;4;damn
DEVO;Total Devo;I’d Cry If You Died;llm;hell;;damn
DEVO;Total Devo;Man Turned Inside Out;static;ass;1;asshole
DEVO;Total Devo;Some Things Never Change;static;pic;1;asshole
DEVO;Total Devo;Some Things Never Change (cassette version);static;ass;1;asshole
DEVO;Total Devo;Some Things Never Change (cassette version);static;pic;1;asshole
Die Ärzte;13;Angeber;static;ass;1;asshole
Die Ärzte;13;Angeber;llm;fresse;;other
Die Ärzte;13;Angeber;llm;knaller;;other
Die Ärzte;13;Der Infant;static;ass;11;asshole
Die Ärzte;13;Der Infant;static;hell;1;damn
Die Ärzte;13;Der Infant;llm;fuck;;fuck
Die Ärzte;13;Der Infant;llm;shit;;shit
Die Ärzte;13;Der Infant;llm;damn;;damn
Die Ärzte;13;Ein Lied für dich;static;ass;2;asshole
Die Ärzte;13;Ein Lied für dich;llm;scheiße;;shit
Die Ärzte;13;Goldenes Handwerk;static;ass;3;asshole
Die Ärzte;13;Grau;static;ass;1;asshole
Die Ärzte;13;Grau;llm;Scheiße;;shit
Die Ärzte;13;Grotesksong;static;ass;2;asshole
Die Ärzte;13;Grotesksong;llm;Arsch;;asshole
Die Ärzte;13;Grotesksong;llm;scheiß;;shit
Die Ärzte;13;Grotesksong;llm;Schlampen;;bitch
Die Ärzte;13;Liebe und Schmerz;static;ass;2;asshole
Die Ärzte;13;Männer sind Schweine;static;ass;2;asshole
Die Ärzte;13;Männer sind Schweine;llm;schwein;;other
Die Ärzte;13;Meine Freunde;static;ass;1;asshole
Die Ärzte;13;Meine Freunde;llm;fuck;;fuck
Die Ärzte;13;Nie wieder Krieg, nie mehr Las Vegas!;llm;verdammte;;damn
Die Ärzte;13;Party stinkt;static;ass;3;asshole
Die Ärzte;13;Party stinkt;static;piss;3;other
Die Ärzte;13;Party stinkt;llm;verpissen;;other
Die Ärzte;13;Punk ist …;static;ass;1;asshole
Die Ärzte;13;Punk ist …;llm;fuck;;fuck
Die Ärzte;13;Punk ist …;llm;arsch;;asshole
Die Ärzte;13;Punk ist …;llm;lecken;;other
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;BGS;static;ass;1;asshole
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;BGS;llm;scheiß;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;BGS;llm;kaputt;;other
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Biergourmet;llm;scheiße;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Bravopunks;static;fuck;1;fuck
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Bravopunks;llm;fuck;;fuck
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Bullenschwein;llm;bullenschwein;;other
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Cops Underwater;static;ass;5;asshole
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Geboren zu verlieren;llm;scheiße;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Geboren zu verlieren;llm;verdammt;;damn
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Hass auf Bier;static;ass;20;asshole
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Hass auf Bier;static;piss;1;other
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;I Hate Hitler;llm;scheiß;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Ich bin ein Punk;llm;fuck;;fuck
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Ich bin ein Punk;llm;shit;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Killing Joke;llm;Bullshit;;shit
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Knüppelbullendub;static;fuck;1;fuck
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Knüppelbullendub;llm;fuck;;fuck
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Paul;static;ass;2;asshole
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Paul;static;debil;1;bastard
Die Ärzte;5, 6, 7, 8 - Bullenstaat!;Punkbabies;llm;fuck;;fuck
