band;album;song;emotion
Tři sestry;Hudba z marsu;Jára ze Sokola;sadness
Tři sestry;Hudba z marsu;Jára ze Sokola;nostalgia
Tři sestry;Hudba z marsu;Jára ze Sokola;frustration
Tři sestry;Hudba z marsu;Kávu si osladím;sadness
Tři sestry;Hudba z marsu;Kávu si osladím;frustration
Tři sestry;Hudba z marsu;Kávu si osladím;confidence
Tři sestry;Hudba z marsu;Konec Bulla Máchy;sadness
Tři sestry;Hudba z marsu;Konec Bulla Máchy;frustration
Tři sestry;Hudba z marsu;Konec Bulla Máchy;nostalgia
Tři sestry;Hudba z marsu;O strašlivé vojně s Turkem;fear
Tři sestry;Hudba z marsu;O strašlivé vojně s Turkem;frustration
Tři sestry;Hudba z marsu;O strašlivé vojně s Turkem;irony
Tři sestry;Hudba z marsu;Pes pes;sadness
Tři sestry;Hudba z marsu;Pes pes;loneliness
Tři sestry;Hudba z marsu;Pes pes;frustration
Tři sestry;Hudba z marsu;Piráti;frustration
Tři sestry;Hudba z marsu;Piráti;aggression
Tři sestry;Hudba z marsu;Piráti;irony
Tři sestry;Hudba z marsu;Prase;anger
Tři sestry;Hudba z marsu;Prase;irony
Tři sestry;Hudba z marsu;Prase;frustration
Tři sestry;Hudba z marsu;Pyla;anger
Tři sestry;Hudba z marsu;Pyla;sadness
Tři sestry;Hudba z marsu;Pyla;frustration
Tři sestry;Hudba z marsu;Pyla;aggression
Tři sestry;Hudba z marsu;Pyla;irony
Tři sestry;Hudba z marsu;Šetři se chlapče;fear
Tři sestry;Hudba z marsu;Šetři se chlapče;irony
Tři sestry;Hudba z marsu;Šetři se chlapče;frustration
Tři sestry;Hudba z marsu;Sluneční strana ulice;anger
Tři sestry;Hudba z marsu;Sluneční strana ulice;disgust
Tři sestry;Hudba z marsu;Sluneční strana ulice;irony
Tři sestry;Hudba z marsu;Toy Dollz;joy
Tři sestry;Hudba z marsu;Toy Dollz;excitement
Tři sestry;Hudba z marsu;Toy Dollz;frustration
Tři sestry;Hudba z marsu;Václavák;fear
Tři sestry;Hudba z marsu;Václavák;aggression
Tři sestry;Hudba z marsu;Václavák;frustration
Tři sestry;Hudba z marsu;Vokurka;joy
Tři sestry;Hudba z marsu;Vokurka;frustration
Tři sestry;Hudba z marsu;Vokurka;confidence
Tři sestry;Lázničky;Bordel;frustration
Tři sestry;Lázničky;Bordel;hopelessness
Tři sestry;Lázničky;Bordel;sadness
Tři sestry;Lázničky;Fc Knajpa;anger
Tři sestry;Lázničky;Fc Knajpa;joy
Tři sestry;Lázničky;Fc Knajpa;aggression
Tři sestry;Lázničky;Fc Knajpa;confidence
Tři sestry;Lázničky;Jako Sahula;sadness
Tři sestry;Lázničky;Jako Sahula;frustration
Tři sestry;Lázničky;Jako Sahula;hopelessness
Tři sestry;Lázničky;Jako Sahula;loneliness
Tři sestry;Lázničky;Kolečkový brusle;frustration
Tři sestry;Lázničky;Kolečkový brusle;nostalgia
Tři sestry;Lázničky;Kolečkový brusle;sadness
Tři sestry;Lázničky;Lázničky;anger
Tři sestry;Lázničky;Lázničky;sadness
Tři sestry;Lázničky;Lázničky;frustration
Tři sestry;Lázničky;Lázničky;aggression
Tři sestry;Lázničky;Léto;joy
Tři sestry;Lázničky;Léto;satisfaction
Tři sestry;Lázničky;Naše věrné fanynky;joy
Tři sestry;Lázničky;Naše věrné fanynky;irony
Tři sestry;Lázničky;Naše věrné fanynky;sarcasm
Tři sestry;Lázničky;Něco se musí stát;joy
Tři sestry;Lázničky;Něco se musí stát;confidence
Tři sestry;Lázničky;Něco se musí stát;frustration
Tři sestry;Lázničky;Něco se musí stát;aggression
Tři sestry;Lázničky;Noční tramvaj;anger
Tři sestry;Lázničky;Noční tramvaj;frustration
Tři sestry;Lázničky;Noční tramvaj;fear
Tři sestry;Lázničky;Pilsner Urquell;joy
Tři sestry;Lázničky;Pilsner Urquell;nostalgia
Tři sestry;Lázničky;Polární noc;nostalgia
Tři sestry;Lázničky;Polární noc;sadness
Tři sestry;Lázničky;Polární noc;loneliness
Tři sestry;Lázničky;Polární noc;hopelessness
Tři sestry;Lázničky;Squatt;frustration
Tři sestry;Lázničky;Squatt;hopelessness
Tři sestry;Lázničky;Stroj;sadness
Tři sestry;Lázničky;Stroj;frustration
Tři sestry;Lázničky;Stroj;irony
Tři sestry;Lázničky;V pekle nebo v ráji;joy
Tři sestry;Lázničky;V pekle nebo v ráji;sarcasm
Tři sestry;Lázničky;V pekle nebo v ráji;confidence
Tři sestry;Lázničky;Vandrák Joe;anger
Tři sestry;Lázničky;Vandrák Joe;frustration
Tři sestry;Lázničky;Vandrák Joe;irony
Tři sestry;Lázničky;Zůstal jsem sám;sadness
Tři sestry;Lázničky;Zůstal jsem sám;loneliness
Tři sestry;Lázničky;Zůstal jsem sám;frustration
Tři sestry;Lázničky;Zůstal jsem sám;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Aida;fear
Tři sestry;Lihová škola umění aneb válka s loky;Aida;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Aida;anger
Tři sestry;Lihová škola umění aneb válka s loky;Aida;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Aj ta kuna;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Aj ta kuna;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Aj ta kuna;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Aj ta kuna;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Bunda z koženky;anger
Tři sestry;Lihová škola umění aneb válka s loky;Bunda z koženky;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Bunda z koženky;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Franta Vrána;anger
Tři sestry;Lihová škola umění aneb válka s loky;Franta Vrána;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Franta Vrána;sarcasm
Tři sestry;Lihová škola umění aneb válka s loky;Franta Vrána;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Golgota open air;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Golgota open air;irony
Tři sestry;Lihová škola umění aneb válka s loky;Golgota open air;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Golgota open air;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Homosexuál;confidence
Tři sestry;Lihová škola umění aneb válka s loky;Homosexuál;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Homosexuál;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Jebex;anger
Tři sestry;Lihová škola umění aneb válka s loky;Jebex;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Jebex;irony
Tři sestry;Lihová škola umění aneb válka s loky;Jéjéjéjéjé;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Jéjéjéjéjé;joy
Tři sestry;Lihová škola umění aneb válka s loky;Jéjéjéjéjé;sarcasm
Tři sestry;Lihová škola umění aneb válka s loky;Kelti II.;anger
Tři sestry;Lihová škola umění aneb válka s loky;Kelti II.;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Kelti II.;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Kelti II.;irony
Tři sestry;Lihová škola umění aneb válka s loky;Mišelín;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Mišelín;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Mišelín;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Modlitba pro partu;joy
Tři sestry;Lihová škola umění aneb válka s loky;Modlitba pro partu;confidence
Tři sestry;Lihová škola umění aneb válka s loky;Modlitba pro partu;irony
Tři sestry;Lihová škola umění aneb válka s loky;Motorka chce na výlet;anger
Tři sestry;Lihová škola umění aneb válka s loky;Motorka chce na výlet;fear
Tři sestry;Lihová škola umění aneb válka s loky;Motorka chce na výlet;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Motorka chce na výlet;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Potápěč;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Potápěč;irony
Tři sestry;Lihová škola umění aneb válka s loky;Potápěč;sarcasm
Tři sestry;Lihová škola umění aneb válka s loky;Potápěč;joy
Tři sestry;Lihová škola umění aneb válka s loky;Radostně!;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Radostně!;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Radostně!;irony
Tři sestry;Lihová škola umění aneb válka s loky;Už koluje fáma;anger
Tři sestry;Lihová škola umění aneb válka s loky;Už koluje fáma;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Už koluje fáma;confidence
Tři sestry;Lihová škola umění aneb válka s loky;Už koluje fáma;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Válka s loky;anger
Tři sestry;Lihová škola umění aneb válka s loky;Válka s loky;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Válka s loky;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Válka s loky;aggression
Tři sestry;Lihová škola umění aneb válka s loky;Vesuv;anger
Tři sestry;Lihová škola umění aneb válka s loky;Vesuv;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Vesuv;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Vesuv;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Vláček piko;sadness
Tři sestry;Lihová škola umění aneb válka s loky;Vláček piko;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Vláček piko;irony
Tři sestry;Lihová škola umění aneb válka s loky;Vláček piko;sarcasm
Tři sestry;Lihová škola umění aneb válka s loky;Vlachovka;nostalgia
Tři sestry;Lihová škola umění aneb válka s loky;Vlachovka;frustration
Tři sestry;Lihová škola umění aneb válka s loky;Vlachovka;hopelessness
Tři sestry;Lihová škola umění aneb válka s loky;Vlachovka;irony
Tři sestry;Lihová škola umění aneb válka s loky;Vlachovka;sadness
Tři sestry;Líná hudba holý neštěstí;Baroko;joy
Tři sestry;Líná hudba holý neštěstí;Baroko;confidence
Tři sestry;Líná hudba holý neštěstí;Das ist ein Salámek;aggression
Tři sestry;Líná hudba holý neštěstí;Das ist ein Salámek;anger
Tři sestry;Líná hudba holý neštěstí;Das ist ein Salámek;frustration
Tři sestry;Líná hudba holý neštěstí;Desítka;sadness
Tři sestry;Líná hudba holý neštěstí;Desítka;nostalgia
Tři sestry;Líná hudba holý neštěstí;Desítka;frustration
Tři sestry;Líná hudba holý neštěstí;Dobré ráno;irony
Tři sestry;Líná hudba holý neštěstí;Dobré ráno;hopelessness
Tři sestry;Líná hudba holý neštěstí;Dobré ráno;confidence
Tři sestry;Líná hudba holý neštěstí;Edit Pilaf;anger
Tři sestry;Líná hudba holý neštěstí;Edit Pilaf;frustration
Tři sestry;Líná hudba holý neštěstí;Edit Pilaf;sarcasm
Tři sestry;Líná hudba holý neštěstí;Játrový knedlíček;anger
Tři sestry;Líná hudba holý neštěstí;Játrový knedlíček;frustration
Tři sestry;Líná hudba holý neštěstí;Játrový knedlíček;sarcasm
Tři sestry;Líná hudba holý neštěstí;Kalhotky ze Lhotky;anger
Tři sestry;Líná hudba holý neštěstí;Kalhotky ze Lhotky;frustration
Tři sestry;Líná hudba holý neštěstí;Kalhotky ze Lhotky;irony
Tři sestry;Líná hudba holý neštěstí;Líná hudba, holý neštěstí;anger
Tři sestry;Líná hudba holý neštěstí;Líná hudba, holý neštěstí;frustration
Tři sestry;Líná hudba holý neštěstí;Líná hudba, holý neštěstí;joy
Tři sestry;Líná hudba holý neštěstí;Masky sádrový;fear
Tři sestry;Líná hudba holý neštěstí;Masky sádrový;sadness
Tři sestry;Líná hudba holý neštěstí;Masky sádrový;nostalgia
Tři sestry;Líná hudba holý neštěstí;Masky sádrový;frustration
Tři sestry;Líná hudba holý neštěstí;Osada havranů;anger
Tři sestry;Líná hudba holý neštěstí;Osada havranů;frustration
Tři sestry;Líná hudba holý neštěstí;Osada havranů;sadness
Tři sestry;Líná hudba holý neštěstí;Osada havranů;hopelessness
Tři sestry;Líná hudba holý neštěstí;Otčenáš;anger
Tři sestry;Líná hudba holý neštěstí;Otčenáš;frustration
Tři sestry;Líná hudba holý neštěstí;Otčenáš;hopelessness
Tři sestry;Líná hudba holý neštěstí;Poprvé na Sestrách;joy
Tři sestry;Líná hudba holý neštěstí;Poprvé na Sestrách;frustration
Tři sestry;Líná hudba holý neštěstí;Poprvé na Sestrách;confidence
Tři sestry;Líná hudba holý neštěstí;Saky paky;sadness
Tři sestry;Líná hudba holý neštěstí;Saky paky;hopelessness
Tři sestry;Líná hudba holý neštěstí;Saky paky;frustration
Tři sestry;Líná hudba holý neštěstí;Saky paky;anger
Tři sestry;Líná hudba holý neštěstí;Školka;anger
Tři sestry;Líná hudba holý neštěstí;Školka;aggression
Tři sestry;Líná hudba holý neštěstí;Školka;frustration
Tři sestry;Líná hudba holý neštěstí;Školka;hopelessness
Tři sestry;Líná hudba holý neštěstí;Vánoční můra;sadness
Tři sestry;Líná hudba holý neštěstí;Vánoční můra;hopelessness
Tři sestry;Líná hudba holý neštěstí;Vánoční můra;frustration
Tři sestry;Mydlovary;40;frustration
Tři sestry;Mydlovary;40;hopelessness
Tři sestry;Mydlovary;40;irony
Tři sestry;Mydlovary;40;sarcasm
Tři sestry;Mydlovary;Adamiti v Londýně;frustration
Tři sestry;Mydlovary;Adamiti v Londýně;aggression
Tři sestry;Mydlovary;Adamiti v Londýně;confidence
Tři sestry;Mydlovary;Adamiti v Londýně;irony
Tři sestry;Mydlovary;Balkán;nostalgia
Tři sestry;Mydlovary;Balkán;joy
Tři sestry;Mydlovary;Balkán;frustration
Tři sestry;Mydlovary;Dráty;frustration
Tři sestry;Mydlovary;Dráty;aggression
Tři sestry;Mydlovary;Frankovka;frustration
Tři sestry;Mydlovary;Frankovka;irony
Tři sestry;Mydlovary;Frankovka;hopelessness
Tři sestry;Mydlovary;Frankovka;aggression
Tři sestry;Mydlovary;Kde spí láska;sadness
Tři sestry;Mydlovary;Kde spí láska;frustration
Tři sestry;Mydlovary;Kde spí láska;hopelessness
Tři sestry;Mydlovary;Koukej;joy
Tři sestry;Mydlovary;Koukej;confidence
Tři sestry;Mydlovary;Koukej;aggression
Tři sestry;Mydlovary;Koukej;frustration
Tři sestry;Mydlovary;Ministr dopravy;anger
Tři sestry;Mydlovary;Ministr dopravy;frustration
Tři sestry;Mydlovary;Ministr dopravy;irony
Tři sestry;Mydlovary;Ministr dopravy;sarcasm
Tři sestry;Mydlovary;Mydlovar;anger
Tři sestry;Mydlovary;Mydlovar;frustration
Tři sestry;Mydlovary;Mydlovar;irony
Tři sestry;Mydlovary;Mydlovar;sarcasm
Tři sestry;Mydlovary;Nakopalypsa;anger
Tři sestry;Mydlovary;Nakopalypsa;frustration
Tři sestry;Mydlovary;Nakopalypsa;hopelessness
Tři sestry;Mydlovary;Nanosekunda;anger
Tři sestry;Mydlovary;Nanosekunda;sadness
Tři sestry;Mydlovary;Nanosekunda;fear
Tři sestry;Mydlovary;Nanosekunda;frustration
Tři sestry;Mydlovary;Obohacenej buran;frustration
Tři sestry;Mydlovary;Obohacenej buran;anger
Tři sestry;Mydlovary;Obohacenej buran;confidence
Tři sestry;Mydlovary;Obohacenej buran;irony
Tři sestry;Mydlovary;Podzim;confidence
Tři sestry;Mydlovary;Podzim;irony
Tři sestry;Mydlovary;Podzim;nostalgia
Tři sestry;Mydlovary;Rendlík;confidence
Tři sestry;Mydlovary;Rendlík;irony
Tři sestry;Mydlovary;Rendlík;frustration
Tři sestry;Mydlovary;Robinson;frustration
Tři sestry;Mydlovary;Robinson;sadness
Tři sestry;Mydlovary;Robinson;alienation
Tři sestry;Mydlovary;Roháče;frustration
Tři sestry;Mydlovary;Roháče;hopelessness
Tři sestry;Mydlovary;Roháče;sadness
Tři sestry;Mydlovary;Roháče;anger
Tři sestry;Mydlovary;Srnka;sadness
Tři sestry;Mydlovary;Srnka;hopelessness
Tři sestry;Mydlovary;Srnka;alienation
Tři sestry;Mydlovary;Štrozok;frustration
Tři sestry;Mydlovary;Štrozok;hopelessness
Tři sestry;Mydlovary;Štrozok;confidence
Tři sestry;Mydlovary;Texty o auťácích III;anger
Tři sestry;Mydlovary;Texty o auťácích III;sadness
Tři sestry;Mydlovary;Texty o auťácích III;hopelessness
Tři sestry;Mydlovary;Toi story - příběh sraček;anger
Tři sestry;Mydlovary;Toi story - příběh sraček;frustration
Tři sestry;Mydlovary;Toi story - příběh sraček;hopelessness
Tři sestry;Mydlovary;Toi story - příběh sraček;fear
Tři sestry;Mydlovary;Uzun Arak;frustration
Tři sestry;Mydlovary;Uzun Arak;anger
Tři sestry;Na exx;A to je pravda;frustration
Tři sestry;Na exx;A to je pravda;joy
Tři sestry;Na exx;A to je pravda;nostalgia
Tři sestry;Na exx;Ahoj! Part one;sadness
Tři sestry;Na exx;Ahoj! Part one;nostalgia
Tři sestry;Na exx;Ahoj! Part one;frustration
Tři sestry;Na exx;Alkohol je;frustration
Tři sestry;Na exx;Alkohol je;irony
Tři sestry;Na exx;Alkohol je;hopelessness
Tři sestry;Na exx;Čaroděj ze země Koz;irony
Tři sestry;Na exx;Čaroděj ze země Koz;sarcasm
Tři sestry;Na exx;Čaroděj ze země Koz;frustration
Tři sestry;Na exx;Dědeček Hrdina;anger
Tři sestry;Na exx;Dědeček Hrdina;frustration
Tři sestry;Na exx;Dědeček Hrdina;irony
Tři sestry;Na exx;Dědeček Hrdina;sarcasm
Tři sestry;Na exx;Den otců;frustration
Tři sestry;Na exx;Den otců;alienation
Tři sestry;Na exx;Den otců;irony
Tři sestry;Na exx;Expres do Bohnic;anger
Tři sestry;Na exx;Expres do Bohnic;frustration
Tři sestry;Na exx;Expres do Bohnic;irony
Tři sestry;Na exx;Expres do Bohnic;hopelessness
Tři sestry;Na exx;Magický večer;frustration
Tři sestry;Na exx;Magický večer;irony
Tři sestry;Na exx;Magický večer;sadness
Tři sestry;Na exx;Montér údržbář;anger
Tři sestry;Na exx;Montér údržbář;frustration
Tři sestry;Na exx;Nejlepší rasa psa;anger
Tři sestry;Na exx;Nejlepší rasa psa;frustration
Tři sestry;Na exx;Nejlepší rasa psa;sarcasm
Tři sestry;Na exx;Nejlepší rasa psa;irony
Tři sestry;Na exx;Od 10 k 5;fear
Tři sestry;Na exx;Od 10 k 5;anger
Tři sestry;Na exx;Od 10 k 5;sadness
Tři sestry;Na exx;Od 10 k 5;frustration
Tři sestry;Na exx;Pumpa;frustration
Tři sestry;Na exx;Pumpa;alienation
Tři sestry;Na exx;Pumpa;irony
Tři sestry;Na exx;Silvestr;anger
Tři sestry;Na exx;Silvestr;frustration
Tři sestry;Na exx;Silvestr;irony
Tři sestry;Na exx;Silvestr;aggression
Tři sestry;Na exx;Tchýně z Bechyně;anger
Tři sestry;Na exx;Tchýně z Bechyně;frustration
Tři sestry;Na exx;Tchýně z Bechyně;sarcasm
Tři sestry;Na exx;U staré @ pošty;frustration
Tři sestry;Na exx;U staré @ pošty;confidence
Tři sestry;Na exx;U staré @ pošty;irony
Tři sestry;Na exx;Vosa;frustration
Tři sestry;Na exx;Vosa;aggression
Tři sestry;Na exx;Vosa;hopelessness
Tři sestry;Na exx;Zánět;frustration
Tři sestry;Na exx;Zánět;irony
Tři sestry;Na exx;Zánět;sarcasm
Tři sestry;Na Kovárně to je nářez;Bába;boredom
Tři sestry;Na Kovárně to je nářez;Bába;frustration
Tři sestry;Na Kovárně to je nářez;Bába;hopelessness
Tři sestry;Na Kovárně to je nářez;Budapešť;frustration
Tři sestry;Na Kovárně to je nářez;Budapešť;irony
Tři sestry;Na Kovárně to je nářez;Budapešť;alienation
Tři sestry;Na Kovárně to je nářez;Budapešť;boredom
Tři sestry;Na Kovárně to je nářez;Divný stavy;frustration
Tři sestry;Na Kovárně to je nářez;Divný stavy;hopelessness
Tři sestry;Na Kovárně to je nářez;Divný stavy;loneliness
Tři sestry;Na Kovárně to je nářez;Když jí bylo 18;nostalgia
Tři sestry;Na Kovárně to je nářez;Když jí bylo 18;joy
Tři sestry;Na Kovárně to je nářez;Když jí bylo 18;sadness
Tři sestry;Na Kovárně to je nářez;Když jí bylo 18;frustration
Tři sestry;Na Kovárně to je nářez;Kenda;frustration
Tři sestry;Na Kovárně to je nářez;Kenda;alienation
Tři sestry;Na Kovárně to je nářez;Kenda;sadness
Tři sestry;Na Kovárně to je nářez;Kino Zdar;anger
Tři sestry;Na Kovárně to je nářez;Kino Zdar;frustration
Tři sestry;Na Kovárně to je nářez;Kino Zdar;aggression
Tři sestry;Na Kovárně to je nářez;Kovárna;frustration
Tři sestry;Na Kovárně to je nářez;Kovárna;hopelessness
Tři sestry;Na Kovárně to je nářez;Kovárna;sarcasm
Tři sestry;Na Kovárně to je nářez;Kovárna II.;joy
Tři sestry;Na Kovárně to je nářez;Kovárna II.;frustration
Tři sestry;Na Kovárně to je nářez;Metalice;anger
Tři sestry;Na Kovárně to je nářez;Metalice;frustration
Tři sestry;Na Kovárně to je nářez;Metalice;alienation
Tři sestry;Na Kovárně to je nářez;Nechci do ústavu;anger
Tři sestry;Na Kovárně to je nářez;Nechci do ústavu;frustration
Tři sestry;Na Kovárně to je nářez;Nechci do ústavu;hopelessness
Tři sestry;Na Kovárně to je nářez;Nuselský Horky;anger
Tři sestry;Na Kovárně to je nářez;Nuselský Horky;frustration
Tři sestry;Na Kovárně to je nářez;Polyš;sadness
Tři sestry;Na Kovárně to je nářez;Polyš;frustration
Tři sestry;Na Kovárně to je nářez;Polyš;alienation
Tři sestry;Na Kovárně to je nářez;Sny o lahvích sody;sadness
Tři sestry;Na Kovárně to je nářez;Sny o lahvích sody;frustration
Tři sestry;Na Kovárně to je nářez;Sny o lahvích sody;hopelessness
Tři sestry;Na Kovárně to je nářez;Sovy v mazutu;sadness
Tři sestry;Na Kovárně to je nářez;Sovy v mazutu;frustration
Tři sestry;Na Kovárně to je nářez;Sovy v mazutu;hopelessness
Tři sestry;Na Kovárně to je nářez;Texty o auťácích;irony
Tři sestry;Na Kovárně to je nářez;Věci divnej spád maj;hopelessness
Tři sestry;Na Kovárně to je nářez;Věci divnej spád maj;sadness
Tři sestry;Na Kovárně to je nářez;Věci divnej spád maj;frustration
Tři sestry;Na Kovárně to je nářez;Život je takovej;frustration
Tři sestry;Na Kovárně to je nářez;Život je takovej;hopelessness
Tři sestry;Na Kovárně to je nářez;Život je takovej;irony
Tři sestry;Na Kovárně to je nářez;Ztráta imunity;anger
Tři sestry;Na Kovárně to je nářez;Ztráta imunity;frustration
Tři sestry;Na Kovárně to je nářez;Ztráta imunity;sadness
Tři sestry;Platinum Collection;'63;sadness
Tři sestry;Platinum Collection;'63;nostalgia
Tři sestry;Platinum Collection;'63;hopelessness
Tři sestry;Platinum Collection;'63;frustration
Tři sestry;Platinum Collection;Aparát;anger
Tři sestry;Platinum Collection;Aparát;frustration
Tři sestry;Platinum Collection;Aparát;confidence
Tři sestry;Platinum Collection;Aparát;joy
Tři sestry;Platinum Collection;Ave Bráník;anger
Tři sestry;Platinum Collection;Ave Bráník;frustration
Tři sestry;Platinum Collection;Ave Bráník;alienation
Tři sestry;Platinum Collection;Básník;confidence
Tři sestry;Platinum Collection;Básník;irony
Tři sestry;Platinum Collection;Básník;hopelessness
Tři sestry;Platinum Collection;Budapešť;irony
Tři sestry;Platinum Collection;Budapešť;frustration
Tři sestry;Platinum Collection;Deset černejch piv;sadness
Tři sestry;Platinum Collection;Deset černejch piv;frustration
Tři sestry;Platinum Collection;Deset černejch piv;loneliness
Tři sestry;Platinum Collection;Dodo a dude;sadness
Tři sestry;Platinum Collection;Dodo a dude;frustration
Tři sestry;Platinum Collection;Dodo a dude;hopelessness
Tři sestry;Platinum Collection;EMI;frustration
Tři sestry;Platinum Collection;EMI;confidence
Tři sestry;Platinum Collection;EMI;sarcasm
Tři sestry;Platinum Collection;Hanojská;joy
Tři sestry;Platinum Collection;Hanojská;frustration
Tři sestry;Platinum Collection;Hanojská;irony
Tři sestry;Platinum Collection;Hanojská;sarcasm
Tři sestry;Platinum Collection;Hrábě;anger
Tři sestry;Platinum Collection;Hrábě;frustration
Tři sestry;Platinum Collection;Hrábě;irony
Tři sestry;Platinum Collection;Kelti;joy
Tři sestry;Platinum Collection;Kelti;confidence
Tři sestry;Platinum Collection;Kovárna;anger
Tři sestry;Platinum Collection;Kovárna;frustration
Tři sestry;Platinum Collection;Kovárna;hopelessness
Tři sestry;Platinum Collection;Kovárna III.;anger
Tři sestry;Platinum Collection;Kovárna III.;frustration
Tři sestry;Platinum Collection;Kovárna III.;sadness
Tři sestry;Platinum Collection;Král Šumavy;confidence
Tři sestry;Platinum Collection;Král Šumavy;irony
Tři sestry;Platinum Collection;Král Šumavy;sarcasm
Tři sestry;Platinum Collection;Lepší časy;sadness
Tři sestry;Platinum Collection;Lepší časy;hopelessness
Tři sestry;Platinum Collection;Lepší časy;frustration
Tři sestry;Platinum Collection;Lidojedi;anger
Tři sestry;Platinum Collection;Lidojedi;irony
Tři sestry;Platinum Collection;Lidojedi;sarcasm
Tři sestry;Platinum Collection;Lidojedi;frustration
Tři sestry;Platinum Collection;Malá domů;anger
Tři sestry;Platinum Collection;Malá domů;sadness
Tři sestry;Platinum Collection;Malá domů;frustration
Tři sestry;Platinum Collection;Malá domů;hopelessness
Tři sestry;Platinum Collection;Malá domů;aggression
Tři sestry;Platinum Collection;Maminka;anger
Tři sestry;Platinum Collection;Maminka;sadness
Tři sestry;Platinum Collection;Maminka;frustration
Tři sestry;Platinum Collection;Maminka;aggression
Tři sestry;Platinum Collection;Mexiko;joy
Tři sestry;Platinum Collection;Mexiko;frustration
Tři sestry;Platinum Collection;Mexiko;confidence
Tři sestry;Platinum Collection;Na srazu;anger
Tři sestry;Platinum Collection;Na srazu;aggression
Tři sestry;Platinum Collection;Na srazu;joy
Tři sestry;Platinum Collection;Na srazu;frustration
Tři sestry;Platinum Collection;Nechci do ústavu;anger
Tři sestry;Platinum Collection;Nechci do ústavu;frustration
Tři sestry;Platinum Collection;Nechci do ústavu;hopelessness
Tři sestry;Platinum Collection;Nechci do ústavu;irony
Tři sestry;Platinum Collection;Nuselský Horky;frustration
Tři sestry;Platinum Collection;Nuselský Horky;anger
Tři sestry;Platinum Collection;Nuselský Horky;irony
Tři sestry;Platinum Collection;O melouny boj;joy
Tři sestry;Platinum Collection;O melouny boj;aggression
Tři sestry;Platinum Collection;O melouny boj;frustration
Tři sestry;Platinum Collection;O strašlivé vojně s Turkem;fear
Tři sestry;Platinum Collection;O strašlivé vojně s Turkem;frustration
Tři sestry;Platinum Collection;O strašlivé vojně s Turkem;aggression
Tři sestry;Platinum Collection;Pačemu garíla;anger
Tři sestry;Platinum Collection;Pačemu garíla;frustration
Tři sestry;Platinum Collection;Pačemu garíla;hopelessness
Tři sestry;Platinum Collection;Pijánovka;anger
Tři sestry;Platinum Collection;Pijánovka;sadness
Tři sestry;Platinum Collection;Pijánovka;frustration
Tři sestry;Platinum Collection;Plesový ráno;sadness
Tři sestry;Platinum Collection;Plesový ráno;nostalgia
Tři sestry;Platinum Collection;Plesový ráno;frustration
Tři sestry;Platinum Collection;Šetři se chlapče;fear
Tři sestry;Platinum Collection;Šetři se chlapče;irony
Tři sestry;Platinum Collection;Sovy v mazutu;sadness
Tři sestry;Platinum Collection;Sovy v mazutu;hopelessness
Tři sestry;Platinum Collection;Sovy v mazutu;frustration
Tři sestry;Platinum Collection;Svatozář;frustration
Tři sestry;Platinum Collection;Svatozář;sadness
Tři sestry;Platinum Collection;Svatozář;hopelessness
Tři sestry;Platinum Collection;Ta naše rytmika;joy
Tři sestry;Platinum Collection;Ta naše rytmika;confidence
Tři sestry;Platinum Collection;Tam na Gvajaně;anger
Tři sestry;Platinum Collection;Tam na Gvajaně;sadness
Tři sestry;Platinum Collection;Tam na Gvajaně;frustration
